scenario,supplier,component,release_week,arrival_week,mode,units,master_capacity,available_capacity,planned_primary_units,manufacturing_weeks,transit_weeks,opening_pipeline,incremental_cost
-1,S-A1,AIRFRAME,20,25,standard,19,20,20,19,3,2,0,0
-1,S-A1,AIRFRAME,21,26,standard,19,20,20,19,3,2,0,0
-1,S-E1,ENGINE,-4,1,standard,32,44,44,32,4,1,1,0
-1,S-E1,ENGINE,-3,2,standard,32,44,44,32,4,1,1,0
-1,S-E1,ENGINE,-2,3,standard,32,44,44,32,4,1,1,0
-1,S-E1,ENGINE,-1,4,standard,34,44,44,34,4,1,1,0
-1,S-E1,ENGINE,0,5,standard,34,44,44,34,4,1,1,0
-1,S-E1,ENGINE,1,6,standard,32,44,44,32,4,1,0,0
-1,S-E1,ENGINE,2,7,standard,34,44,44,34,4,1,0,0
-1,S-E1,ENGINE,3,8,standard,32,44,44,32,4,1,0,0
-1,S-E1,ENGINE,4,9,standard,32,44,44,32,4,1,0,0
-1,S-E1,ENGINE,5,10,standard,32,44,44,32,4,1,0,0
-1,S-E1,ENGINE,6,11,standard,32,44,44,32,4,1,0,0
-1,S-E1,ENGINE,7,12,standard,32,44,44,32,4,1,0,0
-1,S-E1,ENGINE,8,13,standard,32,44,44,32,4,1,0,0
-1,S-E1,ENGINE,9,14,standard,36,44,44,36,4,1,0,0
-1,S-E1,ENGINE,10,15,standard,38,44,44,38,4,1,0,0
-1,S-E1,ENGINE,11,16,standard,36,44,44,36,4,1,0,0
-1,S-E1,ENGINE,12,17,standard,36,44,44,36,4,1,0,0
-1,S-E1,ENGINE,13,18,standard,36,44,44,36,4,1,0,0
-1,S-E1,ENGINE,14,19,standard,36,44,44,36,4,1,0,0
-1,S-E1,ENGINE,15,20,standard,38,44,44,38,4,1,0,0
-1,S-E1,ENGINE,16,21,standard,36,44,44,36,4,1,0,0
-1,S-E1,ENGINE,17,22,standard,36,44,44,36,4,1,0,0
-1,S-E1,ENGINE,18,23,standard,36,44,44,36,4,1,0,0
-1,S-E1,ENGINE,19,24,standard,36,44,44,36,4,1,0,0
-1,S-E1,ENGINE,20,25,standard,38,44,44,38,4,1,0,0
-1,S-E1,ENGINE,21,26,standard,38,44,44,38,4,1,0,0
-1,S-V1,AVIONICS,-2,1,standard,16,22,22,16,2,1,1,0
-1,S-V1,AVIONICS,-1,2,standard,16,22,22,16,2,1,1,0
-1,S-V1,AVIONICS,0,3,standard,16,22,22,16,2,1,1,0
-1,S-V1,AVIONICS,1,4,standard,17,22,22,17,2,1,0,0
-1,S-V1,AVIONICS,2,5,standard,17,22,22,17,2,1,0,0
-1,S-V1,AVIONICS,3,6,standard,16,22,22,16,2,1,0,0
-1,S-V1,AVIONICS,4,7,standard,17,22,22,17,2,1,0,0
-1,S-V1,AVIONICS,5,8,standard,16,22,22,16,2,1,0,0
-1,S-V1,AVIONICS,6,9,standard,16,22,22,16,2,1,0,0
-1,S-V1,AVIONICS,7,10,standard,16,22,22,16,2,1,0,0
-1,S-V1,AVIONICS,8,11,standard,16,22,22,16,2,1,0,0
-1,S-V1,AVIONICS,9,12,standard,16,22,22,16,2,1,0,0
-1,S-V1,AVIONICS,10,13,standard,16,22,22,16,2,1,0,0
-1,S-V1,AVIONICS,11,14,standard,18,22,22,18,2,1,0,0
-1,S-V1,AVIONICS,12,15,standard,19,22,22,19,2,1,0,0
-1,S-V1,AVIONICS,13,16,standard,18,22,22,18,2,1,0,0
-1,S-V1,AVIONICS,14,17,standard,18,22,22,18,2,1,0,0
-1,S-V1,AVIONICS,15,18,standard,18,22,22,18,2,1,0,0
-1,S-V1,AVIONICS,16,19,standard,18,22,22,18,2,1,0,0
-1,S-V1,AVIONICS,17,20,standard,19,22,22,19,2,1,0,0
-1,S-V1,AVIONICS,18,21,standard,18,22,22,18,2,1,0,0
-1,S-V1,AVIONICS,19,22,standard,18,22,22,18,2,1,0,0
-1,S-V1,AVIONICS,20,23,standard,18,22,22,18,2,1,0,0
-1,S-V1,AVIONICS,21,24,standard,18,22,22,18,2,1,0,0
-1,S-V1,AVIONICS,22,25,standard,19,22,22,19,2,1,0,0
-1,S-V1,AVIONICS,23,26,standard,19,22,22,19,2,1,0,0
0,S-A1,AIRFRAME,-4,1,standard,16,20,20,16,3,2,1,0
0,S-A1,AIRFRAME,-3,2,standard,16,20,20,16,3,2,1,0
0,S-A1,AIRFRAME,-2,3,standard,16,20,20,16,3,2,1,0
0,S-A1,AIRFRAME,-1,4,standard,17,20,20,17,3,2,1,0
0,S-A1,AIRFRAME,0,5,standard,17,20,20,17,3,2,1,0
0,S-A1,AIRFRAME,1,6,standard,16,20,20,16,3,2,0,0
0,S-A1,AIRFRAME,2,7,standard,17,20,20,17,3,2,0,0
0,S-A1,AIRFRAME,3,8,standard,16,20,20,16,3,2,0,0
0,S-A1,AIRFRAME,4,9,standard,16,20,20,16,3,2,0,0
0,S-A1,AIRFRAME,5,10,standard,16,20,20,16,3,2,0,0
0,S-A1,AIRFRAME,6,11,standard,16,20,20,16,3,2,0,0
0,S-A1,AIRFRAME,7,12,standard,16,20,20,16,3,2,0,0
0,S-A1,AIRFRAME,8,13,standard,16,20,20,16,3,2,0,0
0,S-A1,AIRFRAME,9,14,standard,18,20,20,18,3,2,0,0
0,S-A1,AIRFRAME,10,15,standard,12,20,12,19,3,2,0,0
0,S-A1,AIRFRAME,11,16,standard,12,20,12,18,3,2,0,0
0,S-A1,AIRFRAME,12,17,standard,12,20,12,18,3,2,0,0
0,S-A1,AIRFRAME,13,18,standard,12,20,12,18,3,2,0,0
0,S-A1,AIRFRAME,14,19,standard,18,20,20,18,3,2,0,0
0,S-A1,AIRFRAME,15,20,standard,19,20,20,19,3,2,0,0
0,S-A1,AIRFRAME,16,21,standard,18,20,20,18,3,2,0,0
0,S-A1,AIRFRAME,17,22,standard,18,20,20,18,3,2,0,0
0,S-A1,AIRFRAME,18,23,standard,18,20,20,18,3,2,0,0
0,S-A1,AIRFRAME,19,24,standard,18,20,20,18,3,2,0,0
0,S-A1,AIRFRAME,20,25,standard,19,20,20,19,3,2,0,0
0,S-A1,AIRFRAME,21,26,standard,19,20,20,19,3,2,0,0
0,S-E1,ENGINE,-4,1,standard,32,44,44,32,4,1,1,0
0,S-E1,ENGINE,-3,2,standard,32,44,44,32,4,1,1,0
0,S-E1,ENGINE,-2,3,standard,32,44,44,32,4,1,1,0
0,S-E1,ENGINE,-1,4,standard,34,44,44,34,4,1,1,0
0,S-E1,ENGINE,0,5,standard,34,44,44,34,4,1,1,0
0,S-E1,ENGINE,1,6,standard,32,44,44,32,4,1,0,0
0,S-E1,ENGINE,2,7,standard,34,44,44,34,4,1,0,0
0,S-E1,ENGINE,3,8,standard,32,44,44,32,4,1,0,0
0,S-E1,ENGINE,4,9,standard,32,44,44,32,4,1,0,0
0,S-E1,ENGINE,5,10,standard,32,44,44,32,4,1,0,0
0,S-E1,ENGINE,6,11,standard,32,44,44,32,4,1,0,0
0,S-E1,ENGINE,7,12,standard,32,44,44,32,4,1,0,0
0,S-E1,ENGINE,8,13,standard,32,44,44,32,4,1,0,0
0,S-E1,ENGINE,9,14,standard,36,44,44,36,4,1,0,0
0,S-E1,ENGINE,10,15,standard,38,44,44,38,4,1,0,0
0,S-E1,ENGINE,11,16,standard,36,44,44,36,4,1,0,0
0,S-E1,ENGINE,12,17,standard,36,44,44,36,4,1,0,0
0,S-E1,ENGINE,13,18,standard,36,44,44,36,4,1,0,0
0,S-E1,ENGINE,14,19,standard,36,44,44,36,4,1,0,0
0,S-E1,ENGINE,15,20,standard,38,44,44,38,4,1,0,0
0,S-E1,ENGINE,16,21,standard,36,44,44,36,4,1,0,0
0,S-E1,ENGINE,17,22,standard,36,44,44,36,4,1,0,0
0,S-E1,ENGINE,18,23,standard,36,44,44,36,4,1,0,0
0,S-E1,ENGINE,19,24,standard,36,44,44,36,4,1,0,0
0,S-E1,ENGINE,20,25,standard,38,44,44,38,4,1,0,0
0,S-E1,ENGINE,21,26,standard,38,44,44,38,4,1,0,0
0,S-V1,AVIONICS,-2,1,standard,16,22,22,16,2,1,1,0
0,S-V1,AVIONICS,-1,2,standard,16,22,22,16,2,1,1,0
0,S-V1,AVIONICS,0,3,standard,16,22,22,16,2,1,1,0
0,S-V1,AVIONICS,1,4,standard,17,22,22,17,2,1,0,0
0,S-V1,AVIONICS,2,5,standard,17,22,22,17,2,1,0,0
0,S-V1,AVIONICS,3,6,standard,16,22,22,16,2,1,0,0
0,S-V1,AVIONICS,4,7,standard,17,22,22,17,2,1,0,0
0,S-V1,AVIONICS,5,8,standard,16,22,22,16,2,1,0,0
0,S-V1,AVIONICS,6,9,standard,16,22,22,16,2,1,0,0
0,S-V1,AVIONICS,7,10,standard,16,22,22,16,2,1,0,0
0,S-V1,AVIONICS,8,11,standard,16,22,22,16,2,1,0,0
0,S-V1,AVIONICS,9,12,standard,16,22,22,16,2,1,0,0
0,S-V1,AVIONICS,10,13,standard,16,22,22,16,2,1,0,0
0,S-V1,AVIONICS,11,14,standard,18,22,22,18,2,1,0,0
0,S-V1,AVIONICS,12,15,standard,19,22,22,19,2,1,0,0
0,S-V1,AVIONICS,13,16,standard,18,22,22,18,2,1,0,0
0,S-V1,AVIONICS,14,17,standard,18,22,22,18,2,1,0,0
0,S-V1,AVIONICS,15,18,standard,18,22,22,18,2,1,0,0
0,S-V1,AVIONICS,16,19,standard,18,22,22,18,2,1,0,0
0,S-V1,AVIONICS,17,20,standard,19,22,22,19,2,1,0,0
0,S-V1,AVIONICS,18,21,standard,18,22,22,18,2,1,0,0
0,S-V1,AVIONICS,19,22,standard,18,22,22,18,2,1,0,0
0,S-V1,AVIONICS,20,23,standard,18,22,22,18,2,1,0,0
0,S-V1,AVIONICS,21,24,standard,18,22,22,18,2,1,0,0
0,S-V1,AVIONICS,22,25,standard,19,22,22,19,2,1,0,0
0,S-V1,AVIONICS,23,26,standard,19,22,22,19,2,1,0,0
1,S-A1,AIRFRAME,-4,1,standard,16,20,20,16,3,2,1,0
1,S-A1,AIRFRAME,-3,2,standard,16,20,20,16,3,2,1,0
1,S-A1,AIRFRAME,-2,3,standard,16,20,20,16,3,2,1,0
1,S-A1,AIRFRAME,-1,4,standard,17,20,20,17,3,2,1,0
1,S-A1,AIRFRAME,0,5,standard,17,20,20,17,3,2,1,0
1,S-A1,AIRFRAME,1,6,standard,16,20,20,16,3,2,0,0
1,S-A1,AIRFRAME,2,7,standard,17,20,20,17,3,2,0,0
1,S-A1,AIRFRAME,3,8,standard,16,20,20,16,3,2,0,0
1,S-A1,AIRFRAME,4,9,standard,16,20,20,16,3,2,0,0
1,S-A1,AIRFRAME,5,10,standard,16,20,20,16,3,2,0,0
1,S-A1,AIRFRAME,6,11,standard,16,20,20,16,3,2,0,0
1,S-A1,AIRFRAME,7,12,standard,16,20,20,16,3,2,0,0
1,S-A1,AIRFRAME,8,13,standard,16,20,20,16,3,2,0,0
1,S-A1,AIRFRAME,9,14,standard,18,20,20,18,3,2,0,0
1,S-A1,AIRFRAME,10,14,express,12,20,12,19,3,1,0,216000.0
1,S-A1,AIRFRAME,11,15,express,12,20,12,18,3,1,0,216000.0
1,S-A1,AIRFRAME,12,16,express,12,20,12,18,3,1,0,216000.0
1,S-A1,AIRFRAME,13,17,express,12,20,12,18,3,1,0,216000.0
1,S-A1,AIRFRAME,14,18,express,12,20,20,18,3,1,0,216000.0
1,S-A1,AIRFRAME,14,19,standard,6,20,20,18,3,2,0,0
1,S-A1,AIRFRAME,15,19,express,12,20,20,19,3,1,0,216000.0
1,S-A1,AIRFRAME,15,20,standard,7,20,20,19,3,2,0,0
1,S-A1,AIRFRAME,16,20,express,12,20,20,18,3,1,0,216000.0
1,S-A1,AIRFRAME,16,21,standard,6,20,20,18,3,2,0,0
1,S-A1,AIRFRAME,17,21,express,12,20,20,18,3,1,0,216000.0
1,S-A1,AIRFRAME,17,22,standard,6,20,20,18,3,2,0,0
1,S-A1,AIRFRAME,18,22,express,12,20,20,18,3,1,0,216000.0
1,S-A1,AIRFRAME,18,23,standard,6,20,20,18,3,2,0,0
1,S-A1,AIRFRAME,19,23,express,12,20,20,18,3,1,0,216000.0
1,S-A1,AIRFRAME,19,24,standard,6,20,20,18,3,2,0,0
1,S-A1,AIRFRAME,20,24,express,12,20,20,19,3,1,0,216000.0
1,S-A1,AIRFRAME,20,25,standard,7,20,20,19,3,2,0,0
1,S-A1,AIRFRAME,21,25,express,12,20,20,19,3,1,0,216000.0
1,S-A1,AIRFRAME,21,26,standard,7,20,20,19,3,2,0,0
1,S-E1,ENGINE,-4,1,standard,32,44,44,32,4,1,1,0
1,S-E1,ENGINE,-3,2,standard,32,44,44,32,4,1,1,0
1,S-E1,ENGINE,-2,3,standard,32,44,44,32,4,1,1,0
1,S-E1,ENGINE,-1,4,standard,34,44,44,34,4,1,1,0
1,S-E1,ENGINE,0,5,standard,34,44,44,34,4,1,1,0
1,S-E1,ENGINE,1,6,standard,32,44,44,32,4,1,0,0
1,S-E1,ENGINE,2,7,standard,34,44,44,34,4,1,0,0
1,S-E1,ENGINE,3,8,standard,32,44,44,32,4,1,0,0
1,S-E1,ENGINE,4,9,standard,32,44,44,32,4,1,0,0
1,S-E1,ENGINE,5,10,standard,32,44,44,32,4,1,0,0
1,S-E1,ENGINE,6,11,standard,32,44,44,32,4,1,0,0
1,S-E1,ENGINE,7,12,standard,32,44,44,32,4,1,0,0
1,S-E1,ENGINE,8,13,standard,32,44,44,32,4,1,0,0
1,S-E1,ENGINE,9,14,standard,36,44,44,36,4,1,0,0
1,S-E1,ENGINE,10,15,standard,38,44,44,38,4,1,0,0
1,S-E1,ENGINE,11,16,standard,36,44,44,36,4,1,0,0
1,S-E1,ENGINE,12,17,standard,36,44,44,36,4,1,0,0
1,S-E1,ENGINE,13,18,standard,36,44,44,36,4,1,0,0
1,S-E1,ENGINE,14,19,standard,36,44,44,36,4,1,0,0
1,S-E1,ENGINE,15,20,standard,38,44,44,38,4,1,0,0
1,S-E1,ENGINE,16,21,standard,36,44,44,36,4,1,0,0
1,S-E1,ENGINE,17,22,standard,36,44,44,36,4,1,0,0
1,S-E1,ENGINE,18,23,standard,36,44,44,36,4,1,0,0
1,S-E1,ENGINE,19,24,standard,36,44,44,36,4,1,0,0
1,S-E1,ENGINE,20,25,standard,38,44,44,38,4,1,0,0
1,S-E1,ENGINE,21,26,standard,38,44,44,38,4,1,0,0
1,S-V1,AVIONICS,-2,1,standard,16,22,22,16,2,1,1,0
1,S-V1,AVIONICS,-1,2,standard,16,22,22,16,2,1,1,0
1,S-V1,AVIONICS,0,3,standard,16,22,22,16,2,1,1,0
1,S-V1,AVIONICS,1,4,standard,17,22,22,17,2,1,0,0
1,S-V1,AVIONICS,2,5,standard,17,22,22,17,2,1,0,0
1,S-V1,AVIONICS,3,6,standard,16,22,22,16,2,1,0,0
1,S-V1,AVIONICS,4,7,standard,17,22,22,17,2,1,0,0
1,S-V1,AVIONICS,5,8,standard,16,22,22,16,2,1,0,0
1,S-V1,AVIONICS,6,9,standard,16,22,22,16,2,1,0,0
1,S-V1,AVIONICS,7,10,standard,16,22,22,16,2,1,0,0
1,S-V1,AVIONICS,8,11,standard,16,22,22,16,2,1,0,0
1,S-V1,AVIONICS,9,12,standard,16,22,22,16,2,1,0,0
1,S-V1,AVIONICS,10,13,standard,16,22,22,16,2,1,0,0
1,S-V1,AVIONICS,11,14,standard,18,22,22,18,2,1,0,0
1,S-V1,AVIONICS,12,15,standard,19,22,22,19,2,1,0,0
1,S-V1,AVIONICS,13,16,standard,18,22,22,18,2,1,0,0
1,S-V1,AVIONICS,14,17,standard,18,22,22,18,2,1,0,0
1,S-V1,AVIONICS,15,18,standard,18,22,22,18,2,1,0,0
1,S-V1,AVIONICS,16,19,standard,18,22,22,18,2,1,0,0
1,S-V1,AVIONICS,17,20,standard,19,22,22,19,2,1,0,0
1,S-V1,AVIONICS,18,21,standard,18,22,22,18,2,1,0,0
1,S-V1,AVIONICS,19,22,standard,18,22,22,18,2,1,0,0
1,S-V1,AVIONICS,20,23,standard,18,22,22,18,2,1,0,0
1,S-V1,AVIONICS,21,24,standard,18,22,22,18,2,1,0,0
1,S-V1,AVIONICS,22,25,standard,19,22,22,19,2,1,0,0
1,S-V1,AVIONICS,23,26,standard,19,22,22,19,2,1,0,0
2,S-A1,AIRFRAME,-4,1,standard,16,20,20,16,3,2,1,0
2,S-A1,AIRFRAME,-3,2,standard,16,20,20,16,3,2,1,0
2,S-A1,AIRFRAME,-2,3,standard,16,20,20,16,3,2,1,0
2,S-A1,AIRFRAME,-1,4,standard,17,20,20,17,3,2,1,0
2,S-A1,AIRFRAME,0,5,standard,17,20,20,17,3,2,1,0
2,S-A1,AIRFRAME,1,6,standard,16,20,20,16,3,2,0,0
2,S-A1,AIRFRAME,2,7,standard,17,20,20,17,3,2,0,0
2,S-A1,AIRFRAME,3,8,standard,16,20,20,16,3,2,0,0
2,S-A1,AIRFRAME,4,9,standard,16,20,20,16,3,2,0,0
2,S-A1,AIRFRAME,5,10,standard,16,20,20,16,3,2,0,0
2,S-A1,AIRFRAME,6,11,standard,16,20,20,16,3,2,0,0
2,S-A1,AIRFRAME,7,12,standard,16,20,20,16,3,2,0,0
2,S-A1,AIRFRAME,8,13,standard,16,20,20,16,3,2,0,0
2,S-A1,AIRFRAME,9,14,standard,18,20,20,18,3,2,0,0
2,S-A1,AIRFRAME,10,15,standard,12,20,12,19,3,2,0,0
2,S-A2,AIRFRAME,10,15,standard,4,4,4,0,3,2,0,104000.0
2,S-A1,AIRFRAME,11,16,standard,12,20,12,18,3,2,0,0
2,S-A2,AIRFRAME,11,16,standard,4,4,4,0,3,2,0,104000.0
2,S-A1,AIRFRAME,12,17,standard,12,20,12,18,3,2,0,0
2,S-A2,AIRFRAME,12,17,standard,4,4,4,0,3,2,0,104000.0
2,S-A1,AIRFRAME,13,18,standard,12,20,12,18,3,2,0,0
2,S-A2,AIRFRAME,13,18,standard,4,4,4,0,3,2,0,104000.0
2,S-A1,AIRFRAME,14,19,standard,18,20,20,18,3,2,0,0
2,S-A2,AIRFRAME,14,19,standard,2,4,4,0,3,2,0,52000.0
2,S-A1,AIRFRAME,15,20,standard,19,20,20,19,3,2,0,0
2,S-A2,AIRFRAME,15,20,standard,2,4,4,0,3,2,0,52000.0
2,S-A1,AIRFRAME,16,21,standard,18,20,20,18,3,2,0,0
2,S-A2,AIRFRAME,16,21,standard,1,4,4,0,3,2,0,26000.0
2,S-A1,AIRFRAME,17,22,standard,18,20,20,18,3,2,0,0
2,S-A2,AIRFRAME,17,22,standard,2,4,4,0,3,2,0,52000.0
2,S-A1,AIRFRAME,18,23,standard,18,20,20,18,3,2,0,0
2,S-A2,AIRFRAME,18,23,standard,2,4,4,0,3,2,0,52000.0
2,S-A1,AIRFRAME,19,24,standard,18,20,20,18,3,2,0,0
2,S-A2,AIRFRAME,19,24,standard,2,4,4,0,3,2,0,52000.0
2,S-A1,AIRFRAME,20,25,standard,19,20,20,19,3,2,0,0
2,S-A2,AIRFRAME,20,25,standard,2,4,4,0,3,2,0,52000.0
2,S-A1,AIRFRAME,21,26,standard,19,20,20,19,3,2,0,0
2,S-A2,AIRFRAME,21,26,standard,1,4,4,0,3,2,0,26000.0
2,S-E1,ENGINE,-4,1,standard,32,44,44,32,4,1,1,0
2,S-E1,ENGINE,-3,2,standard,32,44,44,32,4,1,1,0
2,S-E1,ENGINE,-2,3,standard,32,44,44,32,4,1,1,0
2,S-E1,ENGINE,-1,4,standard,34,44,44,34,4,1,1,0
2,S-E1,ENGINE,0,5,standard,34,44,44,34,4,1,1,0
2,S-E1,ENGINE,1,6,standard,32,44,44,32,4,1,0,0
2,S-E1,ENGINE,2,7,standard,34,44,44,34,4,1,0,0
2,S-E1,ENGINE,3,8,standard,32,44,44,32,4,1,0,0
2,S-E1,ENGINE,4,9,standard,32,44,44,32,4,1,0,0
2,S-E1,ENGINE,5,10,standard,32,44,44,32,4,1,0,0
2,S-E1,ENGINE,6,11,standard,32,44,44,32,4,1,0,0
2,S-E1,ENGINE,7,12,standard,32,44,44,32,4,1,0,0
2,S-E1,ENGINE,8,13,standard,32,44,44,32,4,1,0,0
2,S-E1,ENGINE,9,14,standard,36,44,44,36,4,1,0,0
2,S-E1,ENGINE,10,15,standard,38,44,44,38,4,1,0,0
2,S-E1,ENGINE,11,16,standard,36,44,44,36,4,1,0,0
2,S-E1,ENGINE,12,17,standard,36,44,44,36,4,1,0,0
2,S-E1,ENGINE,13,18,standard,36,44,44,36,4,1,0,0
2,S-E1,ENGINE,14,19,standard,36,44,44,36,4,1,0,0
2,S-E1,ENGINE,15,20,standard,38,44,44,38,4,1,0,0
2,S-E1,ENGINE,16,21,standard,36,44,44,36,4,1,0,0
2,S-E1,ENGINE,17,22,standard,36,44,44,36,4,1,0,0
2,S-E1,ENGINE,18,23,standard,36,44,44,36,4,1,0,0
2,S-E1,ENGINE,19,24,standard,36,44,44,36,4,1,0,0
2,S-E1,ENGINE,20,25,standard,38,44,44,38,4,1,0,0
2,S-E1,ENGINE,21,26,standard,38,44,44,38,4,1,0,0
2,S-V1,AVIONICS,-2,1,standard,16,22,22,16,2,1,1,0
2,S-V1,AVIONICS,-1,2,standard,16,22,22,16,2,1,1,0
2,S-V1,AVIONICS,0,3,standard,16,22,22,16,2,1,1,0
2,S-V1,AVIONICS,1,4,standard,17,22,22,17,2,1,0,0
2,S-V1,AVIONICS,2,5,standard,17,22,22,17,2,1,0,0
2,S-V1,AVIONICS,3,6,standard,16,22,22,16,2,1,0,0
2,S-V1,AVIONICS,4,7,standard,17,22,22,17,2,1,0,0
2,S-V1,AVIONICS,5,8,standard,16,22,22,16,2,1,0,0
2,S-V1,AVIONICS,6,9,standard,16,22,22,16,2,1,0,0
2,S-V1,AVIONICS,7,10,standard,16,22,22,16,2,1,0,0
2,S-V1,AVIONICS,8,11,standard,16,22,22,16,2,1,0,0
2,S-V1,AVIONICS,9,12,standard,16,22,22,16,2,1,0,0
2,S-V1,AVIONICS,10,13,standard,16,22,22,16,2,1,0,0
2,S-V1,AVIONICS,11,14,standard,18,22,22,18,2,1,0,0
2,S-V1,AVIONICS,12,15,standard,19,22,22,19,2,1,0,0
2,S-V1,AVIONICS,13,16,standard,18,22,22,18,2,1,0,0
2,S-V1,AVIONICS,14,17,standard,18,22,22,18,2,1,0,0
2,S-V1,AVIONICS,15,18,standard,18,22,22,18,2,1,0,0
2,S-V1,AVIONICS,16,19,standard,18,22,22,18,2,1,0,0
2,S-V1,AVIONICS,17,20,standard,19,22,22,19,2,1,0,0
2,S-V1,AVIONICS,18,21,standard,18,22,22,18,2,1,0,0
2,S-V1,AVIONICS,19,22,standard,18,22,22,18,2,1,0,0
2,S-V1,AVIONICS,20,23,standard,18,22,22,18,2,1,0,0
2,S-V1,AVIONICS,21,24,standard,18,22,22,18,2,1,0,0
2,S-V1,AVIONICS,22,25,standard,19,22,22,19,2,1,0,0
2,S-V1,AVIONICS,23,26,standard,19,22,22,19,2,1,0,0
3,S-A1,AIRFRAME,-4,1,standard,16,20,20,16,3,2,1,0
3,S-A1,AIRFRAME,-3,2,standard,16,20,20,16,3,2,1,0
3,S-A1,AIRFRAME,-2,3,standard,16,20,20,16,3,2,1,0
3,S-A1,AIRFRAME,-1,4,standard,17,20,20,17,3,2,1,0
3,S-A1,AIRFRAME,0,5,standard,17,20,20,17,3,2,1,0
3,S-A1,AIRFRAME,1,6,standard,16,20,20,16,3,2,0,0
3,S-A1,AIRFRAME,2,7,standard,17,20,20,17,3,2,0,0
3,S-A1,AIRFRAME,3,8,standard,16,20,20,16,3,2,0,0
3,S-A1,AIRFRAME,4,9,standard,16,20,20,16,3,2,0,0
3,S-A1,AIRFRAME,5,10,standard,16,20,20,16,3,2,0,0
3,S-A1,AIRFRAME,6,11,standard,16,20,20,16,3,2,0,0
3,S-A1,AIRFRAME,7,12,standard,16,20,20,16,3,2,0,0
3,S-A1,AIRFRAME,8,13,standard,16,20,20,16,3,2,0,0
3,S-A1,AIRFRAME,9,14,standard,18,20,20,18,3,2,0,0
3,S-A1,AIRFRAME,10,15,standard,12,20,12,19,3,2,0,0
3,S-A1,AIRFRAME,11,16,standard,12,20,12,18,3,2,0,0
3,S-A1,AIRFRAME,12,17,standard,12,20,12,18,3,2,0,0
3,S-A1,AIRFRAME,13,18,standard,12,20,12,18,3,2,0,0
3,S-A1,AIRFRAME,14,19,standard,18,20,20,18,3,2,0,0
3,S-A1,AIRFRAME,15,20,standard,19,20,20,19,3,2,0,0
3,S-A1,AIRFRAME,16,21,standard,18,20,20,18,3,2,0,0
3,S-A1,AIRFRAME,17,22,standard,18,20,20,18,3,2,0,0
3,S-A1,AIRFRAME,18,23,standard,18,20,20,18,3,2,0,0
3,S-A1,AIRFRAME,19,24,standard,18,20,20,18,3,2,0,0
3,S-A1,AIRFRAME,20,25,standard,19,20,20,19,3,2,0,0
3,S-A1,AIRFRAME,21,26,standard,19,20,20,19,3,2,0,0
3,S-E1,ENGINE,-4,1,standard,32,44,44,32,4,1,1,0
3,S-E1,ENGINE,-3,2,standard,32,44,44,32,4,1,1,0
3,S-E1,ENGINE,-2,3,standard,32,44,44,32,4,1,1,0
3,S-E1,ENGINE,-1,4,standard,34,44,44,34,4,1,1,0
3,S-E1,ENGINE,0,5,standard,34,44,44,34,4,1,1,0
3,S-E1,ENGINE,1,6,standard,32,44,44,32,4,1,0,0
3,S-E1,ENGINE,2,7,standard,34,44,44,34,4,1,0,0
3,S-E1,ENGINE,3,8,standard,32,44,44,32,4,1,0,0
3,S-E1,ENGINE,4,9,standard,32,44,44,32,4,1,0,0
3,S-E1,ENGINE,5,10,standard,32,44,44,32,4,1,0,0
