scenario,week,product,demand_units,forecast_units,absolute_error,rolling_4w_wape
0,16,AP-100,13,12.103,0.897,0.1178076923
0,17,AP-100,14,11.342,2.658,0.1308545455
0,18,AP-100,14,12.312,1.688,0.1194545455
0,19,AP-100,14,11.488,2.512,0.141
0,20,AP-100,14,12.855,1.145,0.1429107143
0,21,AP-100,13,12.26,0.74,0.1106363636
0,22,AP-100,14,11.919,2.081,0.1177818182
0,23,AP-100,14,11.216,2.784,0.1227272727
0,24,AP-100,14,12.489,1.511,0.1293818182
0,25,AP-100,14,12.96,1.04,0.1324285714
0,26,AP-100,13,12.646,0.354,0.1034363636
0,1,AP-200,4,4.138,0.138,0.0345
0,2,AP-200,4,4.023,0.023,0.020125
0,3,AP-200,4,4.129,0.129,0.0241666667
0,4,AP-200,4,3.85,0.15,0.0275
0,5,AP-200,4,3.958,0.042,0.0215
0,6,AP-200,4,3.85,0.15,0.0294375
0,7,AP-200,4,3.802,0.198,0.03375
0,8,AP-200,4,3.779,0.221,0.0381875
0,9,AP-200,4,4.277,0.277,0.052875
0,10,AP-200,4,3.955,0.045,0.0463125
0,11,AP-200,4,3.794,0.206,0.0468125
0,12,AP-200,4,4.007,0.007,0.0334375
0,13,AP-200,4,4.218,0.218,0.02975
0,14,AP-200,4,3.815,0.185,0.0385
0,15,AP-200,4,4.15,0.15,0.035
0,16,AP-200,4,3.826,0.174,0.0454375
0,17,AP-200,4,4.261,0.261,0.048125
0,18,AP-200,4,4.274,0.274,0.0536875
0,19,AP-200,4,3.98,0.02,0.0455625
0,20,AP-200,4,4.069,0.069,0.039
0,21,AP-200,4,3.819,0.181,0.034
0,22,AP-200,4,3.945,0.055,0.0203125
0,23,AP-200,4,3.933,0.067,0.02325
0,24,AP-200,4,4.262,0.262,0.0353125
0,25,AP-200,4,4.259,0.259,0.0401875
0,26,AP-200,4,3.708,0.292,0.055
0,1,AP-300,2,1.984,0.016,0.008
0,2,AP-300,2,2.017,0.017,0.00825
0,3,AP-300,2,1.892,0.108,0.0235
0,4,AP-300,2,1.956,0.044,0.023125
0,5,AP-300,2,2.119,0.119,0.036
0,6,AP-300,2,1.968,0.032,0.037875
0,7,AP-300,2,1.969,0.031,0.02825
0,8,AP-300,2,2.147,0.147,0.041125
0,9,AP-300,2,2.138,0.138,0.0435
0,10,AP-300,2,2.136,0.136,0.0565
0,11,AP-300,2,2.067,0.067,0.061
0,12,AP-300,2,1.848,0.152,0.061625
0,13,AP-300,2,1.861,0.139,0.06175
0,14,AP-300,2,2.144,0.144,0.06275
0,15,AP-300,2,1.849,0.151,0.07325
0,16,AP-300,2,2.141,0.141,0.071875
0,17,AP-300,2,1.848,0.152,0.0735
0,18,AP-300,2,2.107,0.107,0.068875
0,19,AP-300,2,2.083,0.083,0.060375
0,20,AP-300,2,2.106,0.106,0.056
0,21,AP-300,2,2.106,0.106,0.05025
0,22,AP-300,2,2.15,0.15,0.055625
0,23,AP-300,2,1.933,0.067,0.053625
0,24,AP-300,2,1.946,0.054,0.047125
0,25,AP-300,2,2.101,0.101,0.0465
0,26,AP-300,2,1.88,0.12,0.04275
1,1,AP-100,10,9.248,0.752,0.0752
1,2,AP-100,10,9.348,0.652,0.0702
1,3,AP-100,10,9.645,0.355,0.0586333333
1,4,AP-100,10,10.661,0.661,0.0605
1,5,AP-100,10,10.754,0.754,0.06055
1,6,AP-100,10,9.585,0.415,0.054625
1,7,AP-100,10,10.649,0.649,0.061975
1,8,AP-100,10,9.466,0.534,0.0588
1,9,AP-100,10,9.833,0.167,0.044125
1,10,AP-100,12,9.206,2.794,0.0986666667
1,11,AP-100,11,9.759,1.241,0.1101395349
1,12,AP-100,12,9.873,2.127,0.1406444444
1,13,AP-100,11,9.413,1.587,0.1684565217
1,14,AP-100,14,11.685,2.315,0.1514583333
1,15,AP-100,14,12.673,1.327,0.1442352941
1,16,AP-100,13,12.103,0.897,0.1178076923
1,17,AP-100,14,11.342,2.658,0.1308545455
1,18,AP-100,14,12.312,1.688,0.1194545455
1,19,AP-100,14,11.488,2.512,0.141
1,20,AP-100,14,12.855,1.145,0.1429107143
1,21,AP-100,13,12.26,0.74,0.1106363636
1,22,AP-100,14,11.919,2.081,0.1177818182
1,23,AP-100,14,11.216,2.784,0.1227272727
1,24,AP-100,14,12.489,1.511,0.1293818182
1,25,AP-100,14,12.96,1.04,0.1324285714
1,26,AP-100,13,12.646,0.354,0.1034363636
1,1,AP-200,4,4.138,0.138,0.0345
1,2,AP-200,4,4.023,0.023,0.020125
1,3,AP-200,4,4.129,0.129,0.0241666667
1,4,AP-200,4,3.85,0.15,0.0275
1,5,AP-200,4,3.958,0.042,0.0215
1,6,AP-200,4,3.85,0.15,0.0294375
1,7,AP-200,4,3.802,0.198,0.03375
1,8,AP-200,4,3.779,0.221,0.0381875
1,9,AP-200,4,4.277,0.277,0.052875
1,10,AP-200,4,3.955,0.045,0.0463125
1,11,AP-200,4,3.794,0.206,0.0468125
1,12,AP-200,4,4.007,0.007,0.0334375
1,13,AP-200,4,4.218,0.218,0.02975
1,14,AP-200,4,3.815,0.185,0.0385
1,15,AP-200,4,4.15,0.15,0.035
1,16,AP-200,4,3.826,0.174,0.0454375
1,17,AP-200,4,4.261,0.261,0.048125
1,18,AP-200,4,4.274,0.274,0.0536875
1,19,AP-200,4,3.98,0.02,0.0455625
1,20,AP-200,4,4.069,0.069,0.039
1,21,AP-200,4,3.819,0.181,0.034
1,22,AP-200,4,3.945,0.055,0.0203125
1,23,AP-200,4,3.933,0.067,0.02325
1,24,AP-200,4,4.262,0.262,0.0353125
1,25,AP-200,4,4.259,0.259,0.0401875
1,26,AP-200,4,3.708,0.292,0.055
1,1,AP-300,2,1.984,0.016,0.008
1,2,AP-300,2,2.017,0.017,0.00825
1,3,AP-300,2,1.892,0.108,0.0235
1,4,AP-300,2,1.956,0.044,0.023125
1,5,AP-300,2,2.119,0.119,0.036
1,6,AP-300,2,1.968,0.032,0.037875
1,7,AP-300,2,1.969,0.031,0.02825
1,8,AP-300,2,2.147,0.147,0.041125
1,9,AP-300,2,2.138,0.138,0.0435
1,10,AP-300,2,2.136,0.136,0.0565
1,11,AP-300,2,2.067,0.067,0.061
1,12,AP-300,2,1.848,0.152,0.061625
1,13,AP-300,2,1.861,0.139,0.06175
1,14,AP-300,2,2.144,0.144,0.06275
1,15,AP-300,2,1.849,0.151,0.07325
1,16,AP-300,2,2.141,0.141,0.071875
1,17,AP-300,2,1.848,0.152,0.0735
1,18,AP-300,2,2.107,0.107,0.068875
1,19,AP-300,2,2.083,0.083,0.060375
1,20,AP-300,2,2.106,0.106,0.056
1,21,AP-300,2,2.106,0.106,0.05025
1,22,AP-300,2,2.15,0.15,0.055625
1,23,AP-300,2,1.933,0.067,0.053625
1,24,AP-300,2,1.946,0.054,0.047125
1,25,AP-300,2,2.101,0.101,0.0465
1,26,AP-300,2,1.88,0.12,0.04275
2,1,AP-100,10,9.248,0.752,0.0752
2,2,AP-100,10,9.348,0.652,0.0702
2,3,AP-100,10,9.645,0.355,0.0586333333
2,4,AP-100,10,10.661,0.661,0.0605
2,5,AP-100,10,10.754,0.754,0.06055
2,6,AP-100,10,9.585,0.415,0.054625
2,7,AP-100,10,10.649,0.649,0.061975
2,8,AP-100,10,9.466,0.534,0.0588
2,9,AP-100,10,9.833,0.167,0.044125
2,10,AP-100,12,9.206,2.794,0.0986666667
2,11,AP-100,11,9.759,1.241,0.1101395349
2,12,AP-100,12,9.873,2.127,0.1406444444
2,13,AP-100,11,9.413,1.587,0.1684565217
2,14,AP-100,14,11.685,2.315,0.1514583333
2,15,AP-100,14,12.673,1.327,0.1442352941
2,16,AP-100,13,12.103,0.897,0.1178076923
2,17,AP-100,14,11.342,2.658,0.1308545455
2,18,AP-100,14,12.312,1.688,0.1194545455
2,19,AP-100,14,11.488,2.512,0.141
2,20,AP-100,14,12.855,1.145,0.1429107143
2,21,AP-100,13,12.26,0.74,0.1106363636
2,22,AP-100,14,11.919,2.081,0.1177818182
2,23,AP-100,14,11.216,2.784,0.1227272727
2,24,AP-100,14,12.489,1.511,0.1293818182
2,25,AP-100,14,12.96,1.04,0.1324285714
2,26,AP-100,13,12.646,0.354,0.1034363636
2,1,AP-200,4,4.138,0.138,0.0345
2,2,AP-200,4,4.023,0.023,0.020125
2,3,AP-200,4,4.129,0.129,0.0241666667
2,4,AP-200,4,3.85,0.15,0.0275
2,5,AP-200,4,3.958,0.042,0.0215
2,6,AP-200,4,3.85,0.15,0.0294375
2,7,AP-200,4,3.802,0.198,0.03375
2,8,AP-200,4,3.779,0.221,0.0381875
2,9,AP-200,4,4.277,0.277,0.052875
2,10,AP-200,4,3.955,0.045,0.0463125
2,11,AP-200,4,3.794,0.206,0.0468125
2,12,AP-200,4,4.007,0.007,0.0334375
2,13,AP-200,4,4.218,0.218,0.02975
2,14,AP-200,4,3.815,0.185,0.0385
2,15,AP-200,4,4.15,0.15,0.035
2,16,AP-200,4,3.826,0.174,0.0454375
2,17,AP-200,4,4.261,0.261,0.048125
2,18,AP-200,4,4.274,0.274,0.0536875
2,19,AP-200,4,3.98,0.02,0.0455625
2,20,AP-200,4,4.069,0.069,0.039
2,21,AP-200,4,3.819,0.181,0.034
2,22,AP-200,4,3.945,0.055,0.0203125
2,23,AP-200,4,3.933,0.067,0.02325
2,24,AP-200,4,4.262,0.262,0.0353125
2,25,AP-200,4,4.259,0.259,0.0401875
2,26,AP-200,4,3.708,0.292,0.055
2,1,AP-300,2,1.984,0.016,0.008
2,2,AP-300,2,2.017,0.017,0.00825
2,3,AP-300,2,1.892,0.108,0.0235
2,4,AP-300,2,1.956,0.044,0.023125
2,5,AP-300,2,2.119,0.119,0.036
2,6,AP-300,2,1.968,0.032,0.037875
2,7,AP-300,2,1.969,0.031,0.02825
2,8,AP-300,2,2.147,0.147,0.041125
2,9,AP-300,2,2.138,0.138,0.0435
2,10,AP-300,2,2.136,0.136,0.0565
2,11,AP-300,2,2.067,0.067,0.061
2,12,AP-300,2,1.848,0.152,0.061625
2,13,AP-300,2,1.861,0.139,0.06175
2,14,AP-300,2,2.144,0.144,0.06275
2,15,AP-300,2,1.849,0.151,0.07325
2,16,AP-300,2,2.141,0.141,0.071875
2,17,AP-300,2,1.848,0.152,0.0735
2,18,AP-300,2,2.107,0.107,0.068875
2,19,AP-300,2,2.083,0.083,0.060375
2,20,AP-300,2,2.106,0.106,0.056
2,21,AP-300,2,2.106,0.106,0.05025
2,22,AP-300,2,2.15,0.15,0.055625
2,23,AP-300,2,1.933,0.067,0.053625
2,24,AP-300,2,1.946,0.054,0.047125
2,25,AP-300,2,2.101,0.101,0.0465
2,26,AP-300,2,1.88,0.12,0.04275
3,1,AP-100,10,9.248,0.752,0.0752
3,2,AP-100,10,9.348,0.652,0.0702
3,3,AP-100,10,9.645,0.355,0.0586333333
3,4,AP-100,10,10.661,0.661,0.0605
3,5,AP-100,10,10.754,0.754,0.06055
3,6,AP-100,10,9.585,0.415,0.054625
3,7,AP-100,10,10.649,0.649,0.061975
3,8,AP-100,10,9.466,0.534,0.0588
3,9,AP-100,10,9.833,0.167,0.044125
3,10,AP-100,12,9.206,2.794,0.0986666667
3,11,AP-100,11,9.759,1.241,0.1101395349
3,12,AP-100,12,9.873,2.127,0.1406444444
3,13,AP-100,11,9.413,1.587,0.1684565217
3,14,AP-100,14,11.685,2.315,0.1514583333
3,15,AP-100,14,12.673,1.327,0.1442352941
3,16,AP-100,13,12.103,0.897,0.1178076923
3,17,AP-100,14,11.342,2.658,0.1308545455
3,18,AP-100,14,12.312,1.688,0.1194545455
3,19,AP-100,14,11.488,2.512,0.141
3,20,AP-100,14,12.855,1.145,0.1429107143
3,21,AP-100,13,12.26,0.74,0.1106363636
3,22,AP-100,14,11.919,2.081,0.1177818182
3,23,AP-100,14,11.216,2.784,0.1227272727
3,24,AP-100,14,12.489,1.511,0.1293818182
3,25,AP-100,14,12.96,1.04,0.1324285714
3,26,AP-100,13,12.646,0.354,0.1034363636
3,1,AP-200,4,4.138,0.138,0.0345
3,2,AP-200,4,4.023,0.023,0.020125
3,3,AP-200,4,4.129,0.129,0.0241666667
3,4,AP-200,4,3.85,0.15,0.0275
3,5,AP-200,4,3.958,0.042,0.0215
3,6,AP-200,4,3.85,0.15,0.0294375
3,7,AP-200,4,3.802,0.198,0.03375
3,8,AP-200,4,3.779,0.221,0.0381875
3,9,AP-200,4,4.277,0.277,0.052875
3,10,AP-200,4,3.955,0.045,0.0463125
3,11,AP-200,4,3.794,0.206,0.0468125
3,12,AP-200,4,4.007,0.007,0.0334375
3,13,AP-200,4,4.218,0.218,0.02975
3,14,AP-200,4,3.815,0.185,0.0385
3,15,AP-200,4,4.15,0.15,0.035
3,16,AP-200,4,3.826,0.174,0.0454375
3,17,AP-200,4,4.261,0.261,0.048125
3,18,AP-200,4,4.274,0.274,0.0536875
3,19,AP-200,4,3.98,0.02,0.0455625
3,20,AP-200,4,4.069,0.069,0.039
3,21,AP-200,4,3.819,0.181,0.034
3,22,AP-200,4,3.945,0.055,0.0203125
3,23,AP-200,4,3.933,0.067,0.02325
3,24,AP-200,4,4.262,0.262,0.0353125
3,25,AP-200,4,4.259,0.259,0.0401875
3,26,AP-200,4,3.708,0.292,0.055
3,1,AP-300,2,1.984,0.016,0.008
3,2,AP-300,2,2.017,0.017,0.00825
3,3,AP-300,2,1.892,0.108,0.0235
3,4,AP-300,2,1.956,0.044,0.023125
3,5,AP-300,2,2.119,0.119,0.036
3,6,AP-300,2,1.968,0.032,0.037875
3,7,AP-300,2,1.969,0.031,0.02825
3,8,AP-300,2,2.147,0.147,0.041125
3,9,AP-300,2,2.138,0.138,0.0435
3,10,AP-300,2,2.136,0.136,0.0565
3,11,AP-300,2,2.067,0.067,0.061
3,12,AP-300,2,1.848,0.152,0.061625
3,13,AP-300,2,1.861,0.139,0.06175
3,14,AP-300,2,2.144,0.144,0.06275
3,15,AP-300,2,1.849,0.151,0.07325
3,16,AP-300,2,2.141,0.141,0.071875
3,17,AP-300,2,1.848,0.152,0.0735
3,18,AP-300,2,2.107,0.107,0.068875
3,19,AP-300,2,2.083,0.083,0.060375
3,20,AP-300,2,2.106,0.106,0.056
3,21,AP-300,2,2.106,0.106,0.05025
3,22,AP-300,2,2.15,0.15,0.055625
3,23,AP-300,2,1.933,0.067,0.053625
3,24,AP-300,2,1.946,0.054,0.047125
3,25,AP-300,2,2.101,0.101,0.0465
3,26,AP-300,2,1.88,0.12,0.04275
4,1,AP-100,10,9.248,0.752,0.0752
4,2,AP-100,10,9.348,0.652,0.0702
4,3,AP-100,10,9.645,0.355,0.0586333333
4,4,AP-100,10,10.661,0.661,0.0605
4,5,AP-100,10,10.754,0.754,0.06055
4,6,AP-100,10,9.585,0.415,0.054625
4,7,AP-100,10,10.649,0.649,0.061975
4,8,AP-100,10,9.466,0.534,0.0588
4,9,AP-100,10,9.833,0.167,0.044125
4,10,AP-100,12,9.206,2.794,0.0986666667
4,11,AP-100,11,9.759,1.241,0.1101395349
4,12,AP-100,12,9.873,2.127,0.1406444444
4,13,AP-100,11,9.413,1.587,0.1684565217
4,14,AP-100,14,11.685,2.315,0.1514583333
4,15,AP-100,14,12.673,1.327,0.1442352941
4,16,AP-100,13,12.103,0.897,0.1178076923
4,17,AP-100,14,11.342,2.658,0.1308545455
4,18,AP-100,14,12.312,1.688,0.1194545455
4,19,AP-100,14,11.488,2.512,0.141
4,20,AP-100,14,12.855,1.145,0.1429107143
4,21,AP-100,13,12.26,0.74,0.1106363636
4,22,AP-100,14,11.919,2.081,0.1177818182
4,23,AP-100,14,11.216,2.784,0.1227272727
4,24,AP-100,14,12.489,1.511,0.1293818182
4,25,AP-100,14,12.96,1.04,0.1324285714
4,26,AP-100,13,12.646,0.354,0.1034363636
4,1,AP-200,4,4.138,0.138,0.0345
4,2,AP-200,4,4.023,0.023,0.020125
4,3,AP-200,4,4.129,0.129,0.0241666667
4,4,AP-200,4,3.85,0.15,0.0275
4,5,AP-200,4,3.958,0.042,0.0215
4,6,AP-200,4,3.85,0.15,0.0294375
4,7,AP-200,4,3.802,0.198,0.03375
4,8,AP-200,4,3.779,0.221,0.0381875
4,9,AP-200,4,4.277,0.277,0.052875
4,10,AP-200,4,3.955,0.045,0.0463125
4,11,AP-200,4,3.794,0.206,0.0468125
4,12,AP-200,4,4.007,0.007,0.0334375
4,13,AP-200,4,4.218,0.218,0.02975
4,14,AP-200,4,3.815,0.185,0.0385
4,15,AP-200,4,4.15,0.15,0.035
4,16,AP-200,4,3.826,0.174,0.0454375
4,17,AP-200,4,4.261,0.261,0.048125
4,18,AP-200,4,4.274,0.274,0.0536875
4,19,AP-200,4,3.98,0.02,0.0455625
4,20,AP-200,4,4.069,0.069,0.039
4,21,AP-200,4,3.819,0.181,0.034
4,22,AP-200,4,3.945,0.055,0.0203125
4,23,AP-200,4,3.933,0.067,0.02325
4,24,AP-200,4,4.262,0.262,0.0353125
4,25,AP-200,4,4.259,0.259,0.0401875
4,26,AP-200,4,3.708,0.292,0.055
4,1,AP-300,2,1.984,0.016,0.008
4,2,AP-300,2,2.017,0.017,0.00825
4,3,AP-300,2,1.892,0.108,0.0235
4,4,AP-300,2,1.956,0.044,0.023125
4,5,AP-300,2,2.119,0.119,0.036
4,6,AP-300,2,1.968,0.032,0.037875
4,7,AP-300,2,1.969,0.031,0.02825
4,8,AP-300,2,2.147,0.147,0.041125
4,9,AP-300,2,2.138,0.138,0.0435
4,10,AP-300,2,2.136,0.136,0.0565
4,11,AP-300,2,2.067,0.067,0.061
4,12,AP-300,2,1.848,0.152,0.061625
4,13,AP-300,2,1.861,0.139,0.06175
4,14,AP-300,2,2.144,0.144,0.06275
4,15,AP-300,2,1.849,0.151,0.07325
4,16,AP-300,2,2.141,0.141,0.071875
4,17,AP-300,2,1.848,0.152,0.0735
4,18,AP-300,2,2.107,0.107,0.068875
4,19,AP-300,2,2.083,0.083,0.060375
4,20,AP-300,2,2.106,0.106,0.056
4,21,AP-300,2,2.106,0.106,0.05025
4,22,AP-300,2,2.15,0.15,0.055625
4,23,AP-300,2,1.933,0.067,0.053625
4,24,AP-300,2,1.946,0.054,0.047125
4,25,AP-300,2,2.101,0.101,0.0465
4,26,AP-300,2,1.88,0.12,0.04275
