scenario,supplier,component,release_week,allocated_units,available_capacity,master_capacity,release_utilization,incremental_cost
-1,S-E1,ENGINE,8,32,44,44,0.7272727273,0.0
-1,S-E1,ENGINE,9,36,44,44,0.8181818182,0.0
-1,S-E1,ENGINE,10,38,44,44,0.8636363636,0.0
-1,S-E1,ENGINE,11,36,44,44,0.8181818182,0.0
-1,S-E1,ENGINE,12,36,44,44,0.8181818182,0.0
-1,S-E1,ENGINE,13,36,44,44,0.8181818182,0.0
-1,S-E1,ENGINE,14,36,44,44,0.8181818182,0.0
-1,S-E1,ENGINE,15,38,44,44,0.8636363636,0.0
-1,S-E1,ENGINE,16,36,44,44,0.8181818182,0.0
-1,S-E1,ENGINE,17,36,44,44,0.8181818182,0.0
-1,S-E1,ENGINE,18,36,44,44,0.8181818182,0.0
-1,S-E1,ENGINE,19,36,44,44,0.8181818182,0.0
-1,S-E1,ENGINE,20,38,44,44,0.8636363636,0.0
-1,S-E1,ENGINE,21,38,44,44,0.8636363636,0.0
-1,S-V1,AVIONICS,-2,16,22,22,0.7272727273,0.0
-1,S-V1,AVIONICS,-1,16,22,22,0.7272727273,0.0
-1,S-V1,AVIONICS,0,16,22,22,0.7272727273,0.0
-1,S-V1,AVIONICS,1,17,22,22,0.7727272727,0.0
-1,S-V1,AVIONICS,2,17,22,22,0.7727272727,0.0
-1,S-V1,AVIONICS,3,16,22,22,0.7272727273,0.0
-1,S-V1,AVIONICS,4,17,22,22,0.7727272727,0.0
-1,S-V1,AVIONICS,5,16,22,22,0.7272727273,0.0
-1,S-V1,AVIONICS,6,16,22,22,0.7272727273,0.0
-1,S-V1,AVIONICS,7,16,22,22,0.7272727273,0.0
-1,S-V1,AVIONICS,8,16,22,22,0.7272727273,0.0
-1,S-V1,AVIONICS,9,16,22,22,0.7272727273,0.0
-1,S-V1,AVIONICS,10,16,22,22,0.7272727273,0.0
-1,S-V1,AVIONICS,11,18,22,22,0.8181818182,0.0
-1,S-V1,AVIONICS,12,19,22,22,0.8636363636,0.0
-1,S-V1,AVIONICS,13,18,22,22,0.8181818182,0.0
-1,S-V1,AVIONICS,14,18,22,22,0.8181818182,0.0
-1,S-V1,AVIONICS,15,18,22,22,0.8181818182,0.0
-1,S-V1,AVIONICS,16,18,22,22,0.8181818182,0.0
-1,S-V1,AVIONICS,17,19,22,22,0.8636363636,0.0
-1,S-V1,AVIONICS,18,18,22,22,0.8181818182,0.0
-1,S-V1,AVIONICS,19,18,22,22,0.8181818182,0.0
-1,S-V1,AVIONICS,20,18,22,22,0.8181818182,0.0
-1,S-V1,AVIONICS,21,18,22,22,0.8181818182,0.0
-1,S-V1,AVIONICS,22,19,22,22,0.8636363636,0.0
-1,S-V1,AVIONICS,23,19,22,22,0.8636363636,0.0
0,S-A1,AIRFRAME,-4,16,20,20,0.8,0.0
0,S-A1,AIRFRAME,-3,16,20,20,0.8,0.0
0,S-A1,AIRFRAME,-2,16,20,20,0.8,0.0
0,S-A1,AIRFRAME,-1,17,20,20,0.85,0.0
0,S-A1,AIRFRAME,0,17,20,20,0.85,0.0
0,S-A1,AIRFRAME,1,16,20,20,0.8,0.0
0,S-A1,AIRFRAME,2,17,20,20,0.85,0.0
0,S-A1,AIRFRAME,3,16,20,20,0.8,0.0
0,S-A1,AIRFRAME,4,16,20,20,0.8,0.0
0,S-A1,AIRFRAME,5,16,20,20,0.8,0.0
0,S-A1,AIRFRAME,6,16,20,20,0.8,0.0
0,S-A1,AIRFRAME,7,16,20,20,0.8,0.0
0,S-A1,AIRFRAME,8,16,20,20,0.8,0.0
0,S-A1,AIRFRAME,9,18,20,20,0.9,0.0
0,S-A1,AIRFRAME,10,12,12,20,1.0,0.0
0,S-A1,AIRFRAME,11,12,12,20,1.0,0.0
0,S-A1,AIRFRAME,12,12,12,20,1.0,0.0
0,S-A1,AIRFRAME,13,12,12,20,1.0,0.0
0,S-A1,AIRFRAME,14,18,20,20,0.9,0.0
0,S-A1,AIRFRAME,15,19,20,20,0.95,0.0
0,S-A1,AIRFRAME,16,18,20,20,0.9,0.0
0,S-A1,AIRFRAME,17,18,20,20,0.9,0.0
0,S-A1,AIRFRAME,18,18,20,20,0.9,0.0
0,S-A1,AIRFRAME,19,18,20,20,0.9,0.0
0,S-A1,AIRFRAME,20,19,20,20,0.95,0.0
0,S-A1,AIRFRAME,21,19,20,20,0.95,0.0
0,S-E1,ENGINE,-4,32,44,44,0.7272727273,0.0
0,S-E1,ENGINE,-3,32,44,44,0.7272727273,0.0
0,S-E1,ENGINE,-2,32,44,44,0.7272727273,0.0
0,S-E1,ENGINE,-1,34,44,44,0.7727272727,0.0
0,S-E1,ENGINE,0,34,44,44,0.7727272727,0.0
0,S-E1,ENGINE,1,32,44,44,0.7272727273,0.0
0,S-E1,ENGINE,2,34,44,44,0.7727272727,0.0
0,S-E1,ENGINE,3,32,44,44,0.7272727273,0.0
0,S-E1,ENGINE,4,32,44,44,0.7272727273,0.0
0,S-E1,ENGINE,5,32,44,44,0.7272727273,0.0
0,S-E1,ENGINE,6,32,44,44,0.7272727273,0.0
0,S-E1,ENGINE,7,32,44,44,0.7272727273,0.0
0,S-E1,ENGINE,8,32,44,44,0.7272727273,0.0
0,S-E1,ENGINE,9,36,44,44,0.8181818182,0.0
0,S-E1,ENGINE,10,38,44,44,0.8636363636,0.0
0,S-E1,ENGINE,11,36,44,44,0.8181818182,0.0
0,S-E1,ENGINE,12,36,44,44,0.8181818182,0.0
0,S-E1,ENGINE,13,36,44,44,0.8181818182,0.0
0,S-E1,ENGINE,14,36,44,44,0.8181818182,0.0
0,S-E1,ENGINE,15,38,44,44,0.8636363636,0.0
0,S-E1,ENGINE,16,36,44,44,0.8181818182,0.0
0,S-E1,ENGINE,17,36,44,44,0.8181818182,0.0
0,S-E1,ENGINE,18,36,44,44,0.8181818182,0.0
0,S-E1,ENGINE,19,36,44,44,0.8181818182,0.0
0,S-E1,ENGINE,20,38,44,44,0.8636363636,0.0
0,S-E1,ENGINE,21,38,44,44,0.8636363636,0.0
0,S-V1,AVIONICS,-2,16,22,22,0.7272727273,0.0
0,S-V1,AVIONICS,-1,16,22,22,0.7272727273,0.0
0,S-V1,AVIONICS,0,16,22,22,0.7272727273,0.0
0,S-V1,AVIONICS,1,17,22,22,0.7727272727,0.0
0,S-V1,AVIONICS,2,17,22,22,0.7727272727,0.0
0,S-V1,AVIONICS,3,16,22,22,0.7272727273,0.0
0,S-V1,AVIONICS,4,17,22,22,0.7727272727,0.0
0,S-V1,AVIONICS,5,16,22,22,0.7272727273,0.0
0,S-V1,AVIONICS,6,16,22,22,0.7272727273,0.0
0,S-V1,AVIONICS,7,16,22,22,0.7272727273,0.0
0,S-V1,AVIONICS,8,16,22,22,0.7272727273,0.0
0,S-V1,AVIONICS,9,16,22,22,0.7272727273,0.0
0,S-V1,AVIONICS,10,16,22,22,0.7272727273,0.0
0,S-V1,AVIONICS,11,18,22,22,0.8181818182,0.0
0,S-V1,AVIONICS,12,19,22,22,0.8636363636,0.0
0,S-V1,AVIONICS,13,18,22,22,0.8181818182,0.0
0,S-V1,AVIONICS,14,18,22,22,0.8181818182,0.0
0,S-V1,AVIONICS,15,18,22,22,0.8181818182,0.0
0,S-V1,AVIONICS,16,18,22,22,0.8181818182,0.0
0,S-V1,AVIONICS,17,19,22,22,0.8636363636,0.0
0,S-V1,AVIONICS,18,18,22,22,0.8181818182,0.0
0,S-V1,AVIONICS,19,18,22,22,0.8181818182,0.0
0,S-V1,AVIONICS,20,18,22,22,0.8181818182,0.0
0,S-V1,AVIONICS,21,18,22,22,0.8181818182,0.0
0,S-V1,AVIONICS,22,19,22,22,0.8636363636,0.0
0,S-V1,AVIONICS,23,19,22,22,0.8636363636,0.0
1,S-A1,AIRFRAME,-4,16,20,20,0.8,0.0
1,S-A1,AIRFRAME,-3,16,20,20,0.8,0.0
1,S-A1,AIRFRAME,-2,16,20,20,0.8,0.0
1,S-A1,AIRFRAME,-1,17,20,20,0.85,0.0
1,S-A1,AIRFRAME,0,17,20,20,0.85,0.0
1,S-A1,AIRFRAME,1,16,20,20,0.8,0.0
1,S-A1,AIRFRAME,2,17,20,20,0.85,0.0
1,S-A1,AIRFRAME,3,16,20,20,0.8,0.0
1,S-A1,AIRFRAME,4,16,20,20,0.8,0.0
1,S-A1,AIRFRAME,5,16,20,20,0.8,0.0
1,S-A1,AIRFRAME,6,16,20,20,0.8,0.0
1,S-A1,AIRFRAME,7,16,20,20,0.8,0.0
1,S-A1,AIRFRAME,8,16,20,20,0.8,0.0
1,S-A1,AIRFRAME,9,18,20,20,0.9,0.0
1,S-A1,AIRFRAME,10,12,12,20,1.0,216000.0
1,S-A1,AIRFRAME,11,12,12,20,1.0,216000.0
1,S-A1,AIRFRAME,12,12,12,20,1.0,216000.0
1,S-A1,AIRFRAME,13,12,12,20,1.0,216000.0
1,S-A1,AIRFRAME,14,18,20,20,0.9,216000.0
1,S-A1,AIRFRAME,15,19,20,20,0.95,216000.0
1,S-A1,AIRFRAME,16,18,20,20,0.9,216000.0
1,S-A1,AIRFRAME,17,18,20,20,0.9,216000.0
1,S-A1,AIRFRAME,18,18,20,20,0.9,216000.0
1,S-A1,AIRFRAME,19,18,20,20,0.9,216000.0
1,S-A1,AIRFRAME,20,19,20,20,0.95,216000.0
1,S-A1,AIRFRAME,21,19,20,20,0.95,216000.0
1,S-E1,ENGINE,-4,32,44,44,0.7272727273,0.0
1,S-E1,ENGINE,-3,32,44,44,0.7272727273,0.0
1,S-E1,ENGINE,-2,32,44,44,0.7272727273,0.0
1,S-E1,ENGINE,-1,34,44,44,0.7727272727,0.0
1,S-E1,ENGINE,0,34,44,44,0.7727272727,0.0
1,S-E1,ENGINE,1,32,44,44,0.7272727273,0.0
1,S-E1,ENGINE,2,34,44,44,0.7727272727,0.0
1,S-E1,ENGINE,3,32,44,44,0.7272727273,0.0
1,S-E1,ENGINE,4,32,44,44,0.7272727273,0.0
1,S-E1,ENGINE,5,32,44,44,0.7272727273,0.0
1,S-E1,ENGINE,6,32,44,44,0.7272727273,0.0
1,S-E1,ENGINE,7,32,44,44,0.7272727273,0.0
1,S-E1,ENGINE,8,32,44,44,0.7272727273,0.0
1,S-E1,ENGINE,9,36,44,44,0.8181818182,0.0
1,S-E1,ENGINE,10,38,44,44,0.8636363636,0.0
1,S-E1,ENGINE,11,36,44,44,0.8181818182,0.0
1,S-E1,ENGINE,12,36,44,44,0.8181818182,0.0
1,S-E1,ENGINE,13,36,44,44,0.8181818182,0.0
1,S-E1,ENGINE,14,36,44,44,0.8181818182,0.0
1,S-E1,ENGINE,15,38,44,44,0.8636363636,0.0
1,S-E1,ENGINE,16,36,44,44,0.8181818182,0.0
1,S-E1,ENGINE,17,36,44,44,0.8181818182,0.0
1,S-E1,ENGINE,18,36,44,44,0.8181818182,0.0
1,S-E1,ENGINE,19,36,44,44,0.8181818182,0.0
1,S-E1,ENGINE,20,38,44,44,0.8636363636,0.0
1,S-E1,ENGINE,21,38,44,44,0.8636363636,0.0
1,S-V1,AVIONICS,-2,16,22,22,0.7272727273,0.0
1,S-V1,AVIONICS,-1,16,22,22,0.7272727273,0.0
1,S-V1,AVIONICS,0,16,22,22,0.7272727273,0.0
1,S-V1,AVIONICS,1,17,22,22,0.7727272727,0.0
1,S-V1,AVIONICS,2,17,22,22,0.7727272727,0.0
1,S-V1,AVIONICS,3,16,22,22,0.7272727273,0.0
1,S-V1,AVIONICS,4,17,22,22,0.7727272727,0.0
1,S-V1,AVIONICS,5,16,22,22,0.7272727273,0.0
1,S-V1,AVIONICS,6,16,22,22,0.7272727273,0.0
1,S-V1,AVIONICS,7,16,22,22,0.7272727273,0.0
1,S-V1,AVIONICS,8,16,22,22,0.7272727273,0.0
1,S-V1,AVIONICS,9,16,22,22,0.7272727273,0.0
1,S-V1,AVIONICS,10,16,22,22,0.7272727273,0.0
1,S-V1,AVIONICS,11,18,22,22,0.8181818182,0.0
1,S-V1,AVIONICS,12,19,22,22,0.8636363636,0.0
1,S-V1,AVIONICS,13,18,22,22,0.8181818182,0.0
1,S-V1,AVIONICS,14,18,22,22,0.8181818182,0.0
1,S-V1,AVIONICS,15,18,22,22,0.8181818182,0.0
1,S-V1,AVIONICS,16,18,22,22,0.8181818182,0.0
1,S-V1,AVIONICS,17,19,22,22,0.8636363636,0.0
1,S-V1,AVIONICS,18,18,22,22,0.8181818182,0.0
1,S-V1,AVIONICS,19,18,22,22,0.8181818182,0.0
1,S-V1,AVIONICS,20,18,22,22,0.8181818182,0.0
1,S-V1,AVIONICS,21,18,22,22,0.8181818182,0.0
1,S-V1,AVIONICS,22,19,22,22,0.8636363636,0.0
1,S-V1,AVIONICS,23,19,22,22,0.8636363636,0.0
2,S-A1,AIRFRAME,-4,16,20,20,0.8,0.0
2,S-A1,AIRFRAME,-3,16,20,20,0.8,0.0
2,S-A1,AIRFRAME,-2,16,20,20,0.8,0.0
2,S-A1,AIRFRAME,-1,17,20,20,0.85,0.0
2,S-A1,AIRFRAME,0,17,20,20,0.85,0.0
2,S-A1,AIRFRAME,1,16,20,20,0.8,0.0
2,S-A1,AIRFRAME,2,17,20,20,0.85,0.0
2,S-A1,AIRFRAME,3,16,20,20,0.8,0.0
2,S-A1,AIRFRAME,4,16,20,20,0.8,0.0
2,S-A1,AIRFRAME,5,16,20,20,0.8,0.0
2,S-A1,AIRFRAME,6,16,20,20,0.8,0.0
2,S-A1,AIRFRAME,7,16,20,20,0.8,0.0
2,S-A1,AIRFRAME,8,16,20,20,0.8,0.0
2,S-A1,AIRFRAME,9,18,20,20,0.9,0.0
2,S-A1,AIRFRAME,10,12,12,20,1.0,0.0
2,S-A1,AIRFRAME,11,12,12,20,1.0,0.0
2,S-A1,AIRFRAME,12,12,12,20,1.0,0.0
2,S-A1,AIRFRAME,13,12,12,20,1.0,0.0
2,S-A1,AIRFRAME,14,18,20,20,0.9,0.0
2,S-A1,AIRFRAME,15,19,20,20,0.95,0.0
2,S-A1,AIRFRAME,16,18,20,20,0.9,0.0
2,S-A1,AIRFRAME,17,18,20,20,0.9,0.0
2,S-A1,AIRFRAME,18,18,20,20,0.9,0.0
2,S-A1,AIRFRAME,19,18,20,20,0.9,0.0
2,S-A1,AIRFRAME,20,19,20,20,0.95,0.0
2,S-A1,AIRFRAME,21,19,20,20,0.95,0.0
2,S-A2,AIRFRAME,10,4,4,4,1.0,104000.0
2,S-A2,AIRFRAME,11,4,4,4,1.0,104000.0
2,S-A2,AIRFRAME,12,4,4,4,1.0,104000.0
2,S-A2,AIRFRAME,13,4,4,4,1.0,104000.0
2,S-A2,AIRFRAME,14,2,4,4,0.5,52000.0
2,S-A2,AIRFRAME,15,2,4,4,0.5,52000.0
2,S-A2,AIRFRAME,16,1,4,4,0.25,26000.0
2,S-A2,AIRFRAME,17,2,4,4,0.5,52000.0
2,S-A2,AIRFRAME,18,2,4,4,0.5,52000.0
2,S-A2,AIRFRAME,19,2,4,4,0.5,52000.0
2,S-A2,AIRFRAME,20,2,4,4,0.5,52000.0
2,S-A2,AIRFRAME,21,1,4,4,0.25,26000.0
2,S-E1,ENGINE,-4,32,44,44,0.7272727273,0.0
2,S-E1,ENGINE,-3,32,44,44,0.7272727273,0.0
2,S-E1,ENGINE,-2,32,44,44,0.7272727273,0.0
2,S-E1,ENGINE,-1,34,44,44,0.7727272727,0.0
2,S-E1,ENGINE,0,34,44,44,0.7727272727,0.0
2,S-E1,ENGINE,1,32,44,44,0.7272727273,0.0
2,S-E1,ENGINE,2,34,44,44,0.7727272727,0.0
2,S-E1,ENGINE,3,32,44,44,0.7272727273,0.0
2,S-E1,ENGINE,4,32,44,44,0.7272727273,0.0
2,S-E1,ENGINE,5,32,44,44,0.7272727273,0.0
2,S-E1,ENGINE,6,32,44,44,0.7272727273,0.0
2,S-E1,ENGINE,7,32,44,44,0.7272727273,0.0
2,S-E1,ENGINE,8,32,44,44,0.7272727273,0.0
2,S-E1,ENGINE,9,36,44,44,0.8181818182,0.0
2,S-E1,ENGINE,10,38,44,44,0.8636363636,0.0
2,S-E1,ENGINE,11,36,44,44,0.8181818182,0.0
2,S-E1,ENGINE,12,36,44,44,0.8181818182,0.0
2,S-E1,ENGINE,13,36,44,44,0.8181818182,0.0
2,S-E1,ENGINE,14,36,44,44,0.8181818182,0.0
2,S-E1,ENGINE,15,38,44,44,0.8636363636,0.0
2,S-E1,ENGINE,16,36,44,44,0.8181818182,0.0
2,S-E1,ENGINE,17,36,44,44,0.8181818182,0.0
2,S-E1,ENGINE,18,36,44,44,0.8181818182,0.0
2,S-E1,ENGINE,19,36,44,44,0.8181818182,0.0
2,S-E1,ENGINE,20,38,44,44,0.8636363636,0.0
2,S-E1,ENGINE,21,38,44,44,0.8636363636,0.0
2,S-V1,AVIONICS,-2,16,22,22,0.7272727273,0.0
2,S-V1,AVIONICS,-1,16,22,22,0.7272727273,0.0
2,S-V1,AVIONICS,0,16,22,22,0.7272727273,0.0
2,S-V1,AVIONICS,1,17,22,22,0.7727272727,0.0
2,S-V1,AVIONICS,2,17,22,22,0.7727272727,0.0
2,S-V1,AVIONICS,3,16,22,22,0.7272727273,0.0
2,S-V1,AVIONICS,4,17,22,22,0.7727272727,0.0
2,S-V1,AVIONICS,5,16,22,22,0.7272727273,0.0
2,S-V1,AVIONICS,6,16,22,22,0.7272727273,0.0
2,S-V1,AVIONICS,7,16,22,22,0.7272727273,0.0
2,S-V1,AVIONICS,8,16,22,22,0.7272727273,0.0
2,S-V1,AVIONICS,9,16,22,22,0.7272727273,0.0
2,S-V1,AVIONICS,10,16,22,22,0.7272727273,0.0
2,S-V1,AVIONICS,11,18,22,22,0.8181818182,0.0
2,S-V1,AVIONICS,12,19,22,22,0.8636363636,0.0
2,S-V1,AVIONICS,13,18,22,22,0.8181818182,0.0
2,S-V1,AVIONICS,14,18,22,22,0.8181818182,0.0
2,S-V1,AVIONICS,15,18,22,22,0.8181818182,0.0
2,S-V1,AVIONICS,16,18,22,22,0.8181818182,0.0
2,S-V1,AVIONICS,17,19,22,22,0.8636363636,0.0
2,S-V1,AVIONICS,18,18,22,22,0.8181818182,0.0
2,S-V1,AVIONICS,19,18,22,22,0.8181818182,0.0
2,S-V1,AVIONICS,20,18,22,22,0.8181818182,0.0
2,S-V1,AVIONICS,21,18,22,22,0.8181818182,0.0
2,S-V1,AVIONICS,22,19,22,22,0.8636363636,0.0
2,S-V1,AVIONICS,23,19,22,22,0.8636363636,0.0
3,S-A1,AIRFRAME,-4,16,20,20,0.8,0.0
3,S-A1,AIRFRAME,-3,16,20,20,0.8,0.0
3,S-A1,AIRFRAME,-2,16,20,20,0.8,0.0
3,S-A1,AIRFRAME,-1,17,20,20,0.85,0.0
3,S-A1,AIRFRAME,0,17,20,20,0.85,0.0
3,S-A1,AIRFRAME,1,16,20,20,0.8,0.0
3,S-A1,AIRFRAME,2,17,20,20,0.85,0.0
3,S-A1,AIRFRAME,3,16,20,20,0.8,0.0
3,S-A1,AIRFRAME,4,16,20,20,0.8,0.0
3,S-A1,AIRFRAME,5,16,20,20,0.8,0.0
3,S-A1,AIRFRAME,6,16,20,20,0.8,0.0
3,S-A1,AIRFRAME,7,16,20,20,0.8,0.0
3,S-A1,AIRFRAME,8,16,20,20,0.8,0.0
3,S-A1,AIRFRAME,9,18,20,20,0.9,0.0
3,S-A1,AIRFRAME,10,12,12,20,1.0,0.0
3,S-A1,AIRFRAME,11,12,12,20,1.0,0.0
3,S-A1,AIRFRAME,12,12,12,20,1.0,0.0
3,S-A1,AIRFRAME,13,12,12,20,1.0,0.0
3,S-A1,AIRFRAME,14,18,20,20,0.9,0.0
3,S-A1,AIRFRAME,15,19,20,20,0.95,0.0
3,S-A1,AIRFRAME,16,18,20,20,0.9,0.0
3,S-A1,AIRFRAME,17,18,20,20,0.9,0.0
3,S-A1,AIRFRAME,18,18,20,20,0.9,0.0
3,S-A1,AIRFRAME,19,18,20,20,0.9,0.0
3,S-A1,AIRFRAME,20,19,20,20,0.95,0.0
3,S-A1,AIRFRAME,21,19,20,20,0.95,0.0
3,S-E1,ENGINE,-4,32,44,44,0.7272727273,0.0
3,S-E1,ENGINE,-3,32,44,44,0.7272727273,0.0
3,S-E1,ENGINE,-2,32,44,44,0.7272727273,0.0
3,S-E1,ENGINE,-1,34,44,44,0.7727272727,0.0
3,S-E1,ENGINE,0,34,44,44,0.7727272727,0.0
3,S-E1,ENGINE,1,32,44,44,0.7272727273,0.0
3,S-E1,ENGINE,2,34,44,44,0.7727272727,0.0
3,S-E1,ENGINE,3,32,44,44,0.7272727273,0.0
3,S-E1,ENGINE,4,32,44,44,0.7272727273,0.0
3,S-E1,ENGINE,5,32,44,44,0.7272727273,0.0
3,S-E1,ENGINE,6,32,44,44,0.7272727273,0.0
3,S-E1,ENGINE,7,32,44,44,0.7272727273,0.0
3,S-E1,ENGINE,8,32,44,44,0.7272727273,0.0
3,S-E1,ENGINE,9,36,44,44,0.8181818182,0.0
3,S-E1,ENGINE,10,38,44,44,0.8636363636,0.0
3,S-E1,ENGINE,11,36,44,44,0.8181818182,0.0
3,S-E1,ENGINE,12,36,44,44,0.8181818182,0.0
3,S-E1,ENGINE,13,36,44,44,0.8181818182,0.0
3,S-E1,ENGINE,14,36,44,44,0.8181818182,0.0
3,S-E1,ENGINE,15,38,44,44,0.8636363636,0.0
3,S-E1,ENGINE,16,36,44,44,0.8181818182,0.0
3,S-E1,ENGINE,17,36,44,44,0.8181818182,0.0
3,S-E1,ENGINE,18,36,44,44,0.8181818182,0.0
3,S-E1,ENGINE,19,36,44,44,0.8181818182,0.0
3,S-E1,ENGINE,20,38,44,44,0.8636363636,0.0
3,S-E1,ENGINE,21,38,44,44,0.8636363636,0.0
3,S-V1,AVIONICS,-2,16,22,22,0.7272727273,0.0
3,S-V1,AVIONICS,-1,16,22,22,0.7272727273,0.0
3,S-V1,AVIONICS,0,16,22,22,0.7272727273,0.0
3,S-V1,AVIONICS,1,17,22,22,0.7727272727,0.0
3,S-V1,AVIONICS,2,17,22,22,0.7727272727,0.0
3,S-V1,AVIONICS,3,16,22,22,0.7272727273,0.0
3,S-V1,AVIONICS,4,17,22,22,0.7727272727,0.0
3,S-V1,AVIONICS,5,16,22,22,0.7272727273,0.0
3,S-V1,AVIONICS,6,16,22,22,0.7272727273,0.0
3,S-V1,AVIONICS,7,16,22,22,0.7272727273,0.0
3,S-V1,AVIONICS,8,16,22,22,0.7272727273,0.0
3,S-V1,AVIONICS,9,16,22,22,0.7272727273,0.0
3,S-V1,AVIONICS,10,16,22,22,0.7272727273,0.0
3,S-V1,AVIONICS,11,18,22,22,0.8181818182,0.0
3,S-V1,AVIONICS,12,19,22,22,0.8636363636,0.0
3,S-V1,AVIONICS,13,18,22,22,0.8181818182,0.0
3,S-V1,AVIONICS,14,18,22,22,0.8181818182,0.0
3,S-V1,AVIONICS,15,18,22,22,0.8181818182,0.0
3,S-V1,AVIONICS,16,18,22,22,0.8181818182,0.0
3,S-V1,AVIONICS,17,19,22,22,0.8636363636,0.0
3,S-V1,AVIONICS,18,18,22,22,0.8181818182,0.0
3,S-V1,AVIONICS,19,18,22,22,0.8181818182,0.0
3,S-V1,AVIONICS,20,18,22,22,0.8181818182,0.0
3,S-V1,AVIONICS,21,18,22,22,0.8181818182,0.0
3,S-V1,AVIONICS,22,19,22,22,0.8636363636,0.0
3,S-V1,AVIONICS,23,19,22,22,0.8636363636,0.0
4,S-A1,AIRFRAME,-4,16,20,20,0.8,0.0
4,S-A1,AIRFRAME,-3,16,20,20,0.8,0.0
4,S-A1,AIRFRAME,-2,16,20,20,0.8,0.0
4,S-A1,AIRFRAME,-1,17,20,20,0.85,0.0
4,S-A1,AIRFRAME,0,17,20,20,0.85,0.0
4,S-A1,AIRFRAME,1,16,20,20,0.8,0.0
4,S-A1,AIRFRAME,2,17,20,20,0.85,0.0
4,S-A1,AIRFRAME,3,16,20,20,0.8,0.0
4,S-A1,AIRFRAME,4,16,20,20,0.8,0.0
4,S-A1,AIRFRAME,5,16,20,20,0.8,0.0
4,S-A1,AIRFRAME,6,16,20,20,0.8,0.0
4,S-A1,AIRFRAME,7,16,20,20,0.8,0.0
4,S-A1,AIRFRAME,8,16,20,20,0.8,0.0
4,S-A1,AIRFRAME,9,18,20,20,0.9,0.0
4,S-A1,AIRFRAME,10,12,12,20,1.0,216000.0
4,S-A1,AIRFRAME,11,12,12,20,1.0,216000.0
4,S-A1,AIRFRAME,12,12,12,20,1.0,216000.0
4,S-A1,AIRFRAME,13,12,12,20,1.0,216000.0
4,S-A1,AIRFRAME,14,18,20,20,0.9,216000.0
4,S-A1,AIRFRAME,15,19,20,20,0.95,216000.0
4,S-A1,AIRFRAME,16,18,20,20,0.9,216000.0
4,S-A1,AIRFRAME,17,18,20,20,0.9,216000.0
4,S-A1,AIRFRAME,18,18,20,20,0.9,216000.0
4,S-A1,AIRFRAME,19,18,20,20,0.9,216000.0
4,S-A1,AIRFRAME,20,19,20,20,0.95,216000.0
4,S-A1,AIRFRAME,21,19,20,20,0.95,216000.0
4,S-A2,AIRFRAME,10,4,4,4,1.0,176000.0
4,S-A2,AIRFRAME,11,4,4,4,1.0,176000.0
