vintage_week,week,product,forecast_units
10,10,AP-200,3.906
1,10,AP-300,2.136
2,10,AP-300,1.916
3,10,AP-300,1.892
4,10,AP-300,2.096
5,10,AP-300,1.897
6,10,AP-300,1.972
7,10,AP-300,1.897
8,10,AP-300,2.136
9,10,AP-300,2.09
10,10,AP-300,1.972
1,11,AP-100,9.759
2,11,AP-100,10.513
3,11,AP-100,10.594
4,11,AP-100,9.557
5,11,AP-100,10.256
6,11,AP-100,9.838
7,11,AP-100,9.646
8,11,AP-100,9.311
9,11,AP-100,10.437
10,11,AP-100,9.762
11,11,AP-100,10.015
1,11,AP-200,3.794
2,11,AP-200,4.296
3,11,AP-200,3.85
4,11,AP-200,3.749
5,11,AP-200,3.958
6,11,AP-200,4.146
7,11,AP-200,3.881
8,11,AP-200,4.068
9,11,AP-200,4.007
10,11,AP-200,3.927
11,11,AP-200,4.049
1,11,AP-300,2.067
2,11,AP-300,1.841
3,11,AP-300,2.136
4,11,AP-300,2.012
5,11,AP-300,2.07
6,11,AP-300,2.077
7,11,AP-300,2.055
8,11,AP-300,1.957
9,11,AP-300,1.862
10,11,AP-300,2.053
11,11,AP-300,1.946
1,12,AP-100,9.873
2,12,AP-100,10.705
3,12,AP-100,10.284
4,12,AP-100,10.644
5,12,AP-100,10.185
6,12,AP-100,9.682
7,12,AP-100,10.077
8,12,AP-100,9.201
9,12,AP-100,9.659
10,12,AP-100,9.888
11,12,AP-100,10.128
12,12,AP-100,10.248
1,12,AP-200,4.007
2,12,AP-200,4.188
3,12,AP-200,4.294
4,12,AP-200,4.151
5,12,AP-200,4.102
6,12,AP-200,3.862
7,12,AP-200,4.105
8,12,AP-200,4.076
9,12,AP-200,3.74
10,12,AP-200,4.289
11,12,AP-200,3.83
12,12,AP-200,3.879
1,12,AP-300,1.848
2,12,AP-300,1.918
3,12,AP-300,1.992
4,12,AP-300,2.112
5,12,AP-300,1.863
6,12,AP-300,1.973
7,12,AP-300,2.042
8,12,AP-300,1.902
9,12,AP-300,2.063
10,12,AP-300,1.998
11,12,AP-300,1.918
12,12,AP-300,2.05
1,13,AP-100,9.413
2,13,AP-100,9.943
3,13,AP-100,10.05
4,13,AP-100,10.094
5,13,AP-100,9.708
6,13,AP-100,10.408
7,13,AP-100,9.908
8,13,AP-100,10.504
9,13,AP-100,10.627
10,13,AP-100,9.883
11,13,AP-100,10.651
12,13,AP-100,9.913
13,13,AP-100,9.455
1,13,AP-200,4.218
2,13,AP-200,3.857
3,13,AP-200,4.178
4,13,AP-200,3.99
5,13,AP-200,3.833
6,13,AP-200,3.962
7,13,AP-200,4.137
8,13,AP-200,3.83
9,13,AP-200,3.895
10,13,AP-200,4.252
11,13,AP-200,3.732
12,13,AP-200,3.777
13,13,AP-200,3.925
1,13,AP-300,1.861
2,13,AP-300,1.97
3,13,AP-300,2.014
4,13,AP-300,1.973
5,13,AP-300,1.906
6,13,AP-300,1.974
7,13,AP-300,2.13
8,13,AP-300,2.027
9,13,AP-300,2.063
10,13,AP-300,2.114
11,13,AP-300,2.085
12,13,AP-300,1.962
13,13,AP-300,1.842
1,14,AP-100,11.685
2,14,AP-100,12.344
3,14,AP-100,11.816
4,14,AP-100,11.357
5,14,AP-100,11.937
6,14,AP-100,11.285
7,14,AP-100,12.235
8,14,AP-100,11.092
9,14,AP-100,11.797
10,14,AP-100,12.124
11,14,AP-100,11.092
12,14,AP-100,12.274
13,14,AP-100,11.301
14,14,AP-100,11.926
1,14,AP-200,3.815
2,14,AP-200,3.889
3,14,AP-200,4.167
4,14,AP-200,3.923
5,14,AP-200,4.161
6,14,AP-200,4.212
7,14,AP-200,3.841
8,14,AP-200,3.732
9,14,AP-200,3.692
10,14,AP-200,4.025
11,14,AP-200,4.32
12,14,AP-200,3.904
13,14,AP-200,4.096
14,14,AP-200,4.18
1,14,AP-300,2.144
2,14,AP-300,1.904
3,14,AP-300,1.847
4,14,AP-300,1.889
5,14,AP-300,1.88
6,14,AP-300,2.054
7,14,AP-300,2.02
8,14,AP-300,1.91
9,14,AP-300,2.064
10,14,AP-300,2.085
11,14,AP-300,1.894
12,14,AP-300,2.034
13,14,AP-300,2.079
14,14,AP-300,1.877
1,15,AP-100,12.673
2,15,AP-100,12.193
3,15,AP-100,11.272
4,15,AP-100,12.929
5,15,AP-100,12.543
6,15,AP-100,11.707
7,15,AP-100,11.862
8,15,AP-100,11.751
9,15,AP-100,12.011
10,15,AP-100,11.695
11,15,AP-100,12.671
12,15,AP-100,12.619
13,15,AP-100,11.243
14,15,AP-100,12.885
15,15,AP-100,12.26
1,15,AP-200,4.15
2,15,AP-200,4.298
3,15,AP-200,3.853
4,15,AP-200,4.197
5,15,AP-200,4.024
6,15,AP-200,3.989
7,15,AP-200,3.959
8,15,AP-200,4.148
9,15,AP-200,3.852
10,15,AP-200,4.225
11,15,AP-200,4.212
12,15,AP-200,3.735
13,15,AP-200,4.244
14,15,AP-200,3.836
15,15,AP-200,3.977
1,15,AP-300,1.849
2,15,AP-300,2.112
3,15,AP-300,1.898
4,15,AP-300,1.908
5,15,AP-300,2.095
6,15,AP-300,1.949
7,15,AP-300,2.122
8,15,AP-300,2.064
9,15,AP-300,1.928
10,15,AP-300,1.843
11,15,AP-300,2.143
12,15,AP-300,1.867
13,15,AP-300,2.07
14,15,AP-300,1.996
15,15,AP-300,2.083
1,16,AP-100,12.103
2,16,AP-100,11.7
3,16,AP-100,12.954
4,16,AP-100,12.097
5,16,AP-100,11.715
6,16,AP-100,11.911
7,16,AP-100,11.629
8,16,AP-100,11.483
9,16,AP-100,12.425
10,16,AP-100,11.646
11,16,AP-100,12.466
12,16,AP-100,12.866
13,16,AP-100,12.365
14,16,AP-100,11.408
15,16,AP-100,12.458
16,16,AP-100,11.571
1,16,AP-200,3.826
2,16,AP-200,3.795
3,16,AP-200,3.689
4,16,AP-200,4.022
5,16,AP-200,3.856
6,16,AP-200,4.304
7,16,AP-200,4.034
8,16,AP-200,4.126
9,16,AP-200,3.761
10,16,AP-200,4.236
11,16,AP-200,3.994
12,16,AP-200,4.239
13,16,AP-200,4.047
14,16,AP-200,3.98
15,16,AP-200,3.962
16,16,AP-200,3.798
1,16,AP-300,2.141
2,16,AP-300,1.993
3,16,AP-300,2.103
4,16,AP-300,1.968
5,16,AP-300,1.864
6,16,AP-300,2.041
7,16,AP-300,1.857
8,16,AP-300,1.888
9,16,AP-300,2.02
10,16,AP-300,1.937
11,16,AP-300,2.158
12,16,AP-300,1.878
13,16,AP-300,2.085
14,16,AP-300,2.034
15,16,AP-300,2.093
16,16,AP-300,1.912
1,17,AP-100,11.342
2,17,AP-100,11.374
3,17,AP-100,11.184
4,17,AP-100,11.045
5,17,AP-100,11.905
6,17,AP-100,12.18
7,17,AP-100,11.599
8,17,AP-100,11.484
9,17,AP-100,12.397
10,17,AP-100,12.39
11,17,AP-100,11.912
12,17,AP-100,12.36
13,17,AP-100,12.814
14,17,AP-100,12.553
15,17,AP-100,12.24
16,17,AP-100,12.309
17,17,AP-100,12.833
1,17,AP-200,4.261
2,17,AP-200,4.209
3,17,AP-200,3.726
4,17,AP-200,3.786
5,17,AP-200,3.877
6,17,AP-200,4.159
7,17,AP-200,4.044
8,17,AP-200,3.865
9,17,AP-200,3.76
10,17,AP-200,4.121
11,17,AP-200,4.128
12,17,AP-200,4.283
13,17,AP-200,4.0
14,17,AP-200,3.996
15,17,AP-200,3.731
16,17,AP-200,3.706
17,17,AP-200,3.956
1,17,AP-300,1.848
2,17,AP-300,1.913
3,17,AP-300,2.056
4,17,AP-300,2.115
5,17,AP-300,2.028
6,17,AP-300,1.847
7,17,AP-300,2.085
8,17,AP-300,2.103
9,17,AP-300,2.024
10,17,AP-300,2.084
11,17,AP-300,1.896
12,17,AP-300,2.006
13,17,AP-300,1.982
14,17,AP-300,1.929
15,17,AP-300,2.159
16,17,AP-300,1.979
17,17,AP-300,2.101
1,18,AP-100,12.312
2,18,AP-100,11.809
3,18,AP-100,12.5
4,18,AP-100,11.11
5,18,AP-100,11.209
6,18,AP-100,11.525
7,18,AP-100,11.263
8,18,AP-100,12.523
9,18,AP-100,12.701
10,18,AP-100,12.624
11,18,AP-100,11.042
12,18,AP-100,12.709
13,18,AP-100,11.927
14,18,AP-100,11.144
15,18,AP-100,12.035
16,18,AP-100,12.235
17,18,AP-100,11.997
18,18,AP-100,11.889
1,18,AP-200,4.274
2,18,AP-200,3.96
3,18,AP-200,4.127
4,18,AP-200,3.758
5,18,AP-200,4.303
6,18,AP-200,4.07
7,18,AP-200,3.833
8,18,AP-200,3.781
9,18,AP-200,4.033
10,18,AP-200,4.033
11,18,AP-200,3.74
12,18,AP-200,4.315
13,18,AP-200,4.264
14,18,AP-200,3.975
15,18,AP-200,3.755
16,18,AP-200,4.213
17,18,AP-200,3.999
18,18,AP-200,4.139
1,18,AP-300,2.107
2,18,AP-300,2.154
3,18,AP-300,1.918
4,18,AP-300,2.016
5,18,AP-300,1.963
6,18,AP-300,2.135
7,18,AP-300,2.003
8,18,AP-300,2.121
9,18,AP-300,2.116
10,18,AP-300,1.928
11,18,AP-300,2.093
12,18,AP-300,1.973
13,18,AP-300,2.139
14,18,AP-300,2.002
15,18,AP-300,2.103
16,18,AP-300,1.931
17,18,AP-300,1.936
18,18,AP-300,2.028
1,19,AP-100,11.488
2,19,AP-100,12.529
3,19,AP-100,11.124
4,19,AP-100,12.47
5,19,AP-100,12.394
6,19,AP-100,12.598
7,19,AP-100,11.781
8,19,AP-100,12.314
9,19,AP-100,12.616
10,19,AP-100,12.923
11,19,AP-100,11.991
12,19,AP-100,11.111
13,19,AP-100,12.004
14,19,AP-100,12.173
15,19,AP-100,12.71
16,19,AP-100,12.718
17,19,AP-100,11.885
18,19,AP-100,12.05
19,19,AP-100,11.917
1,19,AP-200,3.98
2,19,AP-200,4.3
3,19,AP-200,3.897
4,19,AP-200,4.123
5,19,AP-200,4.096
6,19,AP-200,4.225
7,19,AP-200,4.225
8,19,AP-200,4.23
9,19,AP-200,3.923
10,19,AP-200,3.883
11,19,AP-200,4.14
12,19,AP-200,4.166
13,19,AP-200,4.238
14,19,AP-200,3.703
15,19,AP-200,3.724
16,19,AP-200,4.084
17,19,AP-200,4.269
18,19,AP-200,4.318
19,19,AP-200,4.158
1,19,AP-300,2.083
2,19,AP-300,2.065
3,19,AP-300,1.872
4,19,AP-300,1.893
5,19,AP-300,1.936
6,19,AP-300,1.849
7,19,AP-300,1.944
8,19,AP-300,1.858
9,19,AP-300,1.955
10,19,AP-300,1.978
11,19,AP-300,1.918
12,19,AP-300,1.972
13,19,AP-300,2.058
14,19,AP-300,1.898
15,19,AP-300,1.896
16,19,AP-300,2.035
17,19,AP-300,1.962
18,19,AP-300,2.059
19,19,AP-300,1.999
1,20,AP-100,12.855
2,20,AP-100,12.936
3,20,AP-100,11.614
4,20,AP-100,12.887
5,20,AP-100,12.365
6,20,AP-100,11.917
7,20,AP-100,11.62
8,20,AP-100,12.959
9,20,AP-100,12.678
10,20,AP-100,11.245
11,20,AP-100,11.772
12,20,AP-100,11.729
13,20,AP-100,11.608
14,20,AP-100,12.383
15,20,AP-100,11.082
16,20,AP-100,12.634
17,20,AP-100,11.8
18,20,AP-100,11.056
19,20,AP-100,12.701
20,20,AP-100,12.534
1,20,AP-200,4.069
2,20,AP-200,3.905
3,20,AP-200,4.087
4,20,AP-200,4.077
5,20,AP-200,4.114
6,20,AP-200,4.141
7,20,AP-200,4.102
8,20,AP-200,4.217
9,20,AP-200,4.082
10,20,AP-200,4.258
11,20,AP-200,4.094
12,20,AP-200,3.878
13,20,AP-200,3.962
14,20,AP-200,4.051
15,20,AP-200,4.149
16,20,AP-200,3.738
17,20,AP-200,3.869
18,20,AP-200,4.158
19,20,AP-200,3.792
20,20,AP-200,3.765
1,20,AP-300,2.106
2,20,AP-300,1.922
3,20,AP-300,2.104
4,20,AP-300,1.994
5,20,AP-300,2.098
6,20,AP-300,2.079
7,20,AP-300,1.948
8,20,AP-300,1.877
9,20,AP-300,2.148
10,20,AP-300,1.885
11,20,AP-300,2.149
12,20,AP-300,2.115
13,20,AP-300,2.072
14,20,AP-300,2.154
15,20,AP-300,2.15
16,20,AP-300,2.097
17,20,AP-300,1.957
18,20,AP-300,2.093
19,20,AP-300,1.844
20,20,AP-300,2.012
1,21,AP-100,12.26
2,21,AP-100,11.931
3,21,AP-100,12.386
4,21,AP-100,12.287
5,21,AP-100,11.264
6,21,AP-100,11.127
7,21,AP-100,11.111
8,21,AP-100,12.952
9,21,AP-100,11.263
10,21,AP-100,11.491
11,21,AP-100,12.072
12,21,AP-100,11.786
13,21,AP-100,11.752
14,21,AP-100,12.863
15,21,AP-100,12.377
16,21,AP-100,12.077
17,21,AP-100,12.168
18,21,AP-100,12.435
19,21,AP-100,12.74
20,21,AP-100,12.297
21,21,AP-100,12.641
1,21,AP-200,3.819
2,21,AP-200,3.965
3,21,AP-200,3.831
4,21,AP-200,3.912
5,21,AP-200,4.308
6,21,AP-200,3.915
7,21,AP-200,4.257
8,21,AP-200,4.093
9,21,AP-200,3.719
10,21,AP-200,3.857
11,21,AP-200,4.3
12,21,AP-200,4.287
13,21,AP-200,4.207
14,21,AP-200,3.739
15,21,AP-200,3.816
16,21,AP-200,4.089
17,21,AP-200,4.301
18,21,AP-200,3.712
19,21,AP-200,3.893
20,21,AP-200,4.313
21,21,AP-200,4.184
1,21,AP-300,2.106
2,21,AP-300,2.017
3,21,AP-300,2.028
4,21,AP-300,2.1
5,21,AP-300,1.915
6,21,AP-300,2.088
7,21,AP-300,2.092
8,21,AP-300,2.031
9,21,AP-300,1.929
10,21,AP-300,2.155
11,21,AP-300,2.156
12,21,AP-300,2.013
13,21,AP-300,2.096
14,21,AP-300,1.875
15,21,AP-300,2.117
16,21,AP-300,1.882
17,21,AP-300,1.955
18,21,AP-300,2.092
19,21,AP-300,2.028
20,21,AP-300,1.845
21,21,AP-300,1.925
1,22,AP-100,11.919
2,22,AP-100,12.891
3,22,AP-100,11.157
4,22,AP-100,11.96
5,22,AP-100,11.811
6,22,AP-100,12.357
7,22,AP-100,11.981
8,22,AP-100,12.787
9,22,AP-100,11.181
10,22,AP-100,11.195
11,22,AP-100,12.208
12,22,AP-100,11.166
13,22,AP-100,11.568
14,22,AP-100,12.256
15,22,AP-100,12.093
16,22,AP-100,11.664
17,22,AP-100,12.95
18,22,AP-100,12.059
19,22,AP-100,11.911
20,22,AP-100,12.202
21,22,AP-100,11.23
22,22,AP-100,12.387
1,22,AP-200,3.945
2,22,AP-200,4.21
3,22,AP-200,3.935
4,22,AP-200,4.147
5,22,AP-200,3.88
6,22,AP-200,3.88
7,22,AP-200,3.843
8,22,AP-200,4.29
9,22,AP-200,4.12
10,22,AP-200,3.984
11,22,AP-200,3.738
12,22,AP-200,3.735
13,22,AP-200,3.956
14,22,AP-200,4.157
15,22,AP-200,3.918
16,22,AP-200,3.763
17,22,AP-200,3.718
18,22,AP-200,4.292
19,22,AP-200,4.039
20,22,AP-200,4.109
21,22,AP-200,3.943
22,22,AP-200,4.239
1,22,AP-300,2.15
2,22,AP-300,2.032
3,22,AP-300,1.953
4,22,AP-300,2.025
5,22,AP-300,1.908
6,22,AP-300,2.05
7,22,AP-300,1.912
8,22,AP-300,1.875
9,22,AP-300,2.111
10,22,AP-300,1.958
11,22,AP-300,2.084
12,22,AP-300,2.024
13,22,AP-300,2.098
14,22,AP-300,2.11
15,22,AP-300,2.152
16,22,AP-300,2.102
17,22,AP-300,2.036
18,22,AP-300,2.046
19,22,AP-300,1.848
20,22,AP-300,2.137
21,22,AP-300,2.105
22,22,AP-300,1.926
1,23,AP-100,11.216
2,23,AP-100,12.059
3,23,AP-100,11.762
4,23,AP-100,11.911
5,23,AP-100,11.342
6,23,AP-100,11.638
7,23,AP-100,11.663
8,23,AP-100,12.848
9,23,AP-100,12.185
10,23,AP-100,12.736
11,23,AP-100,11.339
12,23,AP-100,12.489
13,23,AP-100,11.136
14,23,AP-100,11.197
15,23,AP-100,11.891
16,23,AP-100,11.854
17,23,AP-100,12.206
18,23,AP-100,11.835
19,23,AP-100,11.454
20,23,AP-100,12.024
21,23,AP-100,11.703
22,23,AP-100,11.253
23,23,AP-100,12.342
1,23,AP-200,3.933
2,23,AP-200,4.064
3,23,AP-200,3.685
4,23,AP-200,3.873
5,23,AP-200,3.815
6,23,AP-200,3.768
7,23,AP-200,3.844
8,23,AP-200,3.89
9,23,AP-200,3.685
10,23,AP-200,4.158
11,23,AP-200,3.792
12,23,AP-200,3.923
13,23,AP-200,4.13
14,23,AP-200,4.0
15,23,AP-200,4.213
16,23,AP-200,4.196
17,23,AP-200,3.726
18,23,AP-200,4.232
19,23,AP-200,3.707
20,23,AP-200,3.692
21,23,AP-200,4.27
22,23,AP-200,4.232
23,23,AP-200,4.048
1,23,AP-300,1.933
2,23,AP-300,1.97
3,23,AP-300,2.149
4,23,AP-300,1.895
5,23,AP-300,2.143
6,23,AP-300,1.987
7,23,AP-300,2.061
8,23,AP-300,1.956
9,23,AP-300,1.98
10,23,AP-300,1.874
11,23,AP-300,1.979
12,23,AP-300,1.968
13,23,AP-300,1.865
14,23,AP-300,2.119
15,23,AP-300,2.079
16,23,AP-300,1.911
17,23,AP-300,2.089
18,23,AP-300,1.864
19,23,AP-300,2.043
20,23,AP-300,2.01
21,23,AP-300,1.902
22,23,AP-300,2.088
23,23,AP-300,1.952
1,24,AP-100,12.489
2,24,AP-100,12.499
3,24,AP-100,11.902
4,24,AP-100,12.814
5,24,AP-100,12.124
6,24,AP-100,12.26
7,24,AP-100,12.239
8,24,AP-100,12.699
9,24,AP-100,12.244
10,24,AP-100,11.33
11,24,AP-100,11.171
12,24,AP-100,11.889
13,24,AP-100,11.621
14,24,AP-100,11.567
15,24,AP-100,11.148
16,24,AP-100,12.014
17,24,AP-100,11.636
18,24,AP-100,11.908
19,24,AP-100,11.149
20,24,AP-100,12.637
21,24,AP-100,11.187
22,24,AP-100,12.699
23,24,AP-100,12.682
24,24,AP-100,12.221
1,24,AP-200,4.262
2,24,AP-200,4.046
3,24,AP-200,3.8
4,24,AP-200,4.067
5,24,AP-200,4.001
6,24,AP-200,4.293
7,24,AP-200,3.968
8,24,AP-200,4.199
9,24,AP-200,4.216
10,24,AP-200,4.309
11,24,AP-200,3.734
12,24,AP-200,4.094
13,24,AP-200,3.705
14,24,AP-200,4.133
15,24,AP-200,4.314
16,24,AP-200,4.015
17,24,AP-200,4.07
18,24,AP-200,3.913
19,24,AP-200,4.267
20,24,AP-200,3.928
21,24,AP-200,4.176
22,24,AP-200,4.114
23,24,AP-200,3.714
24,24,AP-200,4.084
1,24,AP-300,1.946
2,24,AP-300,2.019
3,24,AP-300,1.964
4,24,AP-300,1.921
5,24,AP-300,2.113
6,24,AP-300,2.149
7,24,AP-300,2.033
8,24,AP-300,1.888
9,24,AP-300,1.866
10,24,AP-300,2.052
11,24,AP-300,2.133
12,24,AP-300,1.939
13,24,AP-300,2.05
14,24,AP-300,2.052
15,24,AP-300,1.881
16,24,AP-300,2.067
17,24,AP-300,1.867
18,24,AP-300,2.019
19,24,AP-300,2.046
20,24,AP-300,1.945
21,24,AP-300,1.881
22,24,AP-300,2.065
23,24,AP-300,2.143
24,24,AP-300,2.159
1,25,AP-100,12.96
2,25,AP-100,11.337
3,25,AP-100,11.608
4,25,AP-100,12.553
5,25,AP-100,12.015
6,25,AP-100,12.076
7,25,AP-100,12.458
8,25,AP-100,12.051
9,25,AP-100,12.311
10,25,AP-100,12.723
11,25,AP-100,12.227
12,25,AP-100,12.187
13,25,AP-100,11.336
14,25,AP-100,11.387
15,25,AP-100,12.37
16,25,AP-100,12.24
17,25,AP-100,12.773
18,25,AP-100,12.425
19,25,AP-100,11.124
20,25,AP-100,11.739
21,25,AP-100,12.422
22,25,AP-100,12.902
23,25,AP-100,12.212
24,25,AP-100,12.485
25,25,AP-100,12.545
1,25,AP-200,4.259
2,25,AP-200,3.804
3,25,AP-200,4.114
4,25,AP-200,4.045
5,25,AP-200,3.962
6,25,AP-200,4.172
7,25,AP-200,4.178
8,25,AP-200,4.002
9,25,AP-200,3.948
10,25,AP-200,3.784
11,25,AP-200,3.808
12,25,AP-200,4.067
13,25,AP-200,4.239
14,25,AP-200,3.713
15,25,AP-200,3.988
16,25,AP-200,3.918
17,25,AP-200,4.278
18,25,AP-200,4.135
19,25,AP-200,4.01
20,25,AP-200,3.76
21,25,AP-200,3.734
22,25,AP-200,3.783
23,25,AP-200,3.968
24,25,AP-200,4.009
25,25,AP-200,4.212
1,25,AP-300,2.101
2,25,AP-300,2.123
3,25,AP-300,2.138
4,25,AP-300,1.973
5,25,AP-300,1.967
6,25,AP-300,1.96
7,25,AP-300,1.964
8,25,AP-300,1.866
9,25,AP-300,1.912
10,25,AP-300,1.942
11,25,AP-300,1.872
12,25,AP-300,2.069
13,25,AP-300,1.947
14,25,AP-300,1.887
15,25,AP-300,1.852
16,25,AP-300,2.134
17,25,AP-300,1.991
18,25,AP-300,2.106
19,25,AP-300,2.083
20,25,AP-300,1.99
21,25,AP-300,2.037
22,25,AP-300,2.13
23,25,AP-300,1.846
24,25,AP-300,1.909
25,25,AP-300,1.888
1,26,AP-100,12.646
2,26,AP-100,12.0
3,26,AP-100,12.069
4,26,AP-100,12.253
5,26,AP-100,12.144
6,26,AP-100,12.42
7,26,AP-100,11.599
8,26,AP-100,11.043
9,26,AP-100,11.717
10,26,AP-100,12.136
11,26,AP-100,11.4
12,26,AP-100,12.323
13,26,AP-100,12.045
14,26,AP-100,11.732
15,26,AP-100,12.871
16,26,AP-100,12.085
17,26,AP-100,12.55
18,26,AP-100,12.015
19,26,AP-100,11.079
20,26,AP-100,12.717
21,26,AP-100,11.124
22,26,AP-100,11.783
23,26,AP-100,11.757
24,26,AP-100,12.475
25,26,AP-100,11.726
26,26,AP-100,11.17
1,26,AP-200,3.708
2,26,AP-200,4.029
3,26,AP-200,4.201
4,26,AP-200,3.792
5,26,AP-200,4.179
6,26,AP-200,3.977
7,26,AP-200,4.125
8,26,AP-200,4.084
9,26,AP-200,4.199
10,26,AP-200,3.72
11,26,AP-200,4.177
12,26,AP-200,3.973
13,26,AP-200,3.868
14,26,AP-200,3.708
15,26,AP-200,3.808
16,26,AP-200,3.707
17,26,AP-200,4.277
18,26,AP-200,4.01
19,26,AP-200,4.313
20,26,AP-200,4.028
21,26,AP-200,3.842
22,26,AP-200,4.162
23,26,AP-200,3.802
24,26,AP-200,3.908
25,26,AP-200,4.18
26,26,AP-200,4.234
1,26,AP-300,1.88
2,26,AP-300,1.958
3,26,AP-300,2.125
4,26,AP-300,2.078
5,26,AP-300,2.126
6,26,AP-300,1.964
7,26,AP-300,2.152
8,26,AP-300,1.999
9,26,AP-300,1.999
10,26,AP-300,2.136
11,26,AP-300,2.006
12,26,AP-300,2.096
13,26,AP-300,2.073
14,26,AP-300,1.865
15,26,AP-300,2.033
16,26,AP-300,2.103
17,26,AP-300,2.015
18,26,AP-300,1.943
19,26,AP-300,1.866
20,26,AP-300,2.051
21,26,AP-300,1.938
22,26,AP-300,2.033
23,26,AP-300,1.976
24,26,AP-300,2.061
25,26,AP-300,1.952
26,26,AP-300,1.854
