scenario,week,product,demand_units,produced,baseline_plan,absolute_deviation,backlog,on_time_due,used_hours
-1,15,AP-300,2,2,2,0,0,2,4.0
-1,16,AP-100,12,12,12,0,0,12,12.0
-1,16,AP-200,4,4,4,0,0,4,6.0
-1,16,AP-300,2,2,2,0,0,2,4.0
-1,17,AP-100,12,12,12,0,0,12,12.0
-1,17,AP-200,4,4,4,0,0,4,6.0
-1,17,AP-300,2,2,2,0,0,2,4.0
-1,18,AP-100,12,12,12,0,0,12,12.0
-1,18,AP-200,4,4,4,0,0,4,6.0
-1,18,AP-300,2,2,2,0,0,2,4.0
-1,19,AP-100,12,12,12,0,0,12,12.0
-1,19,AP-200,4,4,4,0,0,4,6.0
-1,19,AP-300,2,2,2,0,0,2,4.0
-1,20,AP-100,12,12,12,0,0,12,12.0
-1,20,AP-200,4,4,4,0,0,4,6.0
-1,20,AP-300,2,2,2,0,0,2,4.0
-1,21,AP-100,12,12,12,0,0,12,12.0
-1,21,AP-200,4,4,4,0,0,4,6.0
-1,21,AP-300,2,2,2,0,0,2,4.0
-1,22,AP-100,12,12,12,0,0,12,12.0
-1,22,AP-200,4,4,4,0,0,4,6.0
-1,22,AP-300,2,2,2,0,0,2,4.0
-1,23,AP-100,12,12,12,0,0,12,12.0
-1,23,AP-200,4,4,4,0,0,4,6.0
-1,23,AP-300,2,2,2,0,0,2,4.0
-1,24,AP-100,12,12,12,0,0,12,12.0
-1,24,AP-200,4,4,4,0,0,4,6.0
-1,24,AP-300,2,2,2,0,0,2,4.0
-1,25,AP-100,12,12,12,0,0,12,12.0
-1,25,AP-200,4,4,4,0,0,4,6.0
-1,25,AP-300,2,2,2,0,0,2,4.0
-1,26,AP-100,12,12,12,0,0,12,12.0
-1,26,AP-200,4,4,4,0,0,4,6.0
-1,26,AP-300,2,2,2,0,0,2,4.0
0,1,AP-100,10,10,10,0,0,10,10.0
0,1,AP-200,4,4,4,0,0,4,6.0
0,1,AP-300,2,2,2,0,0,2,4.0
0,2,AP-100,10,10,10,0,0,10,10.0
0,2,AP-200,4,4,4,0,0,4,6.0
0,2,AP-300,2,2,2,0,0,2,4.0
0,3,AP-100,10,10,10,0,0,10,10.0
0,3,AP-200,4,4,4,0,0,4,6.0
0,3,AP-300,2,2,2,0,0,2,4.0
0,4,AP-100,10,10,10,0,0,10,10.0
0,4,AP-200,4,4,4,0,0,4,6.0
0,4,AP-300,2,2,2,0,0,2,4.0
0,5,AP-100,10,10,10,0,0,10,10.0
0,5,AP-200,4,4,4,0,0,4,6.0
0,5,AP-300,2,2,2,0,0,2,4.0
0,6,AP-100,10,10,10,0,0,10,10.0
0,6,AP-200,4,4,4,0,0,4,6.0
0,6,AP-300,2,2,2,0,0,2,4.0
0,7,AP-100,10,10,10,0,0,10,10.0
0,7,AP-200,4,4,4,0,0,4,6.0
0,7,AP-300,2,2,2,0,0,2,4.0
0,8,AP-100,10,10,10,0,0,10,10.0
0,8,AP-200,4,4,4,0,0,4,6.0
0,8,AP-300,2,2,2,0,0,2,4.0
0,9,AP-100,10,10,10,0,0,10,10.0
0,9,AP-200,4,4,4,0,0,4,6.0
0,9,AP-300,2,2,2,0,0,2,4.0
0,10,AP-100,12,12,10,2,0,12,12.0
0,10,AP-200,4,4,4,0,0,4,6.0
0,10,AP-300,2,2,2,0,0,2,4.0
0,11,AP-100,11,11,10,1,0,11,11.0
0,11,AP-200,4,4,4,0,0,4,6.0
0,11,AP-300,2,2,2,0,0,2,4.0
0,12,AP-100,12,12,10,2,0,12,12.0
0,12,AP-200,4,4,4,0,0,4,6.0
0,12,AP-300,2,2,2,0,0,2,4.0
0,13,AP-100,11,11,10,1,0,11,11.0
0,13,AP-200,4,4,4,0,0,4,6.0
0,13,AP-300,2,2,2,0,0,2,4.0
0,14,AP-100,14,13,12,1,1,13,13.0
0,14,AP-200,4,4,4,0,0,4,6.0
0,14,AP-300,2,2,2,0,0,2,4.0
0,15,AP-100,14,12,12,0,3,11,12.0
0,15,AP-200,4,0,4,4,4,0,0.0
0,15,AP-300,2,0,2,2,2,0,0.0
0,16,AP-100,13,6,12,6,10,3,6.0
0,16,AP-200,4,4,4,0,4,0,6.0
0,16,AP-300,2,2,2,0,2,0,4.0
0,17,AP-100,14,9,12,3,15,0,9.0
0,17,AP-200,4,3,4,1,5,0,4.5
0,17,AP-300,2,0,2,2,4,0,0.0
0,18,AP-100,14,9,12,3,20,0,9.0
0,18,AP-200,4,1,4,3,8,0,1.5
0,18,AP-300,2,2,2,0,4,0,4.0
0,19,AP-100,14,12,12,0,22,0,12.0
0,19,AP-200,4,4,4,0,8,0,6.0
0,19,AP-300,2,2,2,0,4,0,4.0
0,20,AP-100,14,13,12,1,23,0,13.0
0,20,AP-200,4,4,4,0,8,0,6.0
0,20,AP-300,2,2,2,0,4,0,4.0
0,21,AP-100,13,12,12,0,24,0,12.0
0,21,AP-200,4,4,4,0,8,0,6.0
0,21,AP-300,2,2,2,0,4,0,4.0
0,22,AP-100,14,12,12,0,26,0,12.0
0,22,AP-200,4,4,4,0,8,0,6.0
0,22,AP-300,2,2,2,0,4,0,4.0
0,23,AP-100,14,12,12,0,28,0,12.0
0,23,AP-200,4,4,4,0,8,0,6.0
0,23,AP-300,2,2,2,0,4,0,4.0
0,24,AP-100,14,12,12,0,30,0,12.0
0,24,AP-200,4,4,4,0,8,0,6.0
0,24,AP-300,2,2,2,0,4,0,4.0
0,25,AP-100,14,14,12,2,30,0,14.0
0,25,AP-200,4,4,4,0,8,0,6.0
0,25,AP-300,2,1,2,1,5,0,2.0
0,26,AP-100,13,14,12,2,29,0,14.0
0,26,AP-200,4,4,4,0,8,0,6.0
0,26,AP-300,2,1,2,1,6,0,2.0
1,1,AP-100,10,10,10,0,0,10,10.0
1,1,AP-200,4,4,4,0,0,4,6.0
1,1,AP-300,2,2,2,0,0,2,4.0
1,2,AP-100,10,10,10,0,0,10,10.0
1,2,AP-200,4,4,4,0,0,4,6.0
1,2,AP-300,2,2,2,0,0,2,4.0
1,3,AP-100,10,10,10,0,0,10,10.0
1,3,AP-200,4,4,4,0,0,4,6.0
1,3,AP-300,2,2,2,0,0,2,4.0
1,4,AP-100,10,10,10,0,0,10,10.0
1,4,AP-200,4,4,4,0,0,4,6.0
1,4,AP-300,2,2,2,0,0,2,4.0
1,5,AP-100,10,10,10,0,0,10,10.0
1,5,AP-200,4,4,4,0,0,4,6.0
1,5,AP-300,2,2,2,0,0,2,4.0
1,6,AP-100,10,10,10,0,0,10,10.0
1,6,AP-200,4,4,4,0,0,4,6.0
1,6,AP-300,2,2,2,0,0,2,4.0
1,7,AP-100,10,10,10,0,0,10,10.0
1,7,AP-200,4,4,4,0,0,4,6.0
1,7,AP-300,2,2,2,0,0,2,4.0
1,8,AP-100,10,10,10,0,0,10,10.0
1,8,AP-200,4,4,4,0,0,4,6.0
1,8,AP-300,2,2,2,0,0,2,4.0
1,9,AP-100,10,10,10,0,0,10,10.0
1,9,AP-200,4,4,4,0,0,4,6.0
1,9,AP-300,2,2,2,0,0,2,4.0
1,10,AP-100,12,12,10,2,0,12,12.0
1,10,AP-200,4,4,4,0,0,4,6.0
1,10,AP-300,2,2,2,0,0,2,4.0
1,11,AP-100,11,11,10,1,0,11,11.0
1,11,AP-200,4,4,4,0,0,4,6.0
1,11,AP-300,2,2,2,0,0,2,4.0
1,12,AP-100,12,12,10,2,0,12,12.0
1,12,AP-200,4,4,4,0,0,4,6.0
1,12,AP-300,2,2,2,0,0,2,4.0
1,13,AP-100,11,11,10,1,0,11,11.0
1,13,AP-200,4,4,4,0,0,4,6.0
1,13,AP-300,2,2,2,0,0,2,4.0
1,14,AP-100,14,13,12,1,1,13,13.0
1,14,AP-200,4,4,4,0,0,4,6.0
1,14,AP-300,2,2,2,0,0,2,4.0
1,15,AP-100,14,13,12,1,2,12,13.0
1,15,AP-200,4,4,4,0,0,4,6.0
1,15,AP-300,2,2,2,0,0,2,4.0
1,16,AP-100,13,14,12,2,1,12,14.0
1,16,AP-200,4,3,4,1,1,3,4.5
1,16,AP-300,2,0,2,2,2,0,0.0
1,17,AP-100,14,9,12,3,6,8,9.0
1,17,AP-200,4,1,4,3,4,0,1.5
1,17,AP-300,2,2,2,0,2,0,4.0
1,18,AP-100,14,6,12,6,14,0,6.0
1,18,AP-200,4,4,4,0,4,0,6.0
1,18,AP-300,2,2,2,0,2,0,4.0
1,19,AP-100,14,12,12,0,16,0,12.0
1,19,AP-200,4,4,4,0,4,0,6.0
1,19,AP-300,2,2,2,0,2,0,4.0
1,20,AP-100,14,14,12,2,16,0,14.0
1,20,AP-200,4,4,4,0,4,0,6.0
1,20,AP-300,2,1,2,1,3,0,2.0
1,21,AP-100,13,14,12,2,15,0,14.0
1,21,AP-200,4,3,4,1,5,0,4.5
1,21,AP-300,2,1,2,1,4,0,2.0
1,22,AP-100,14,14,12,2,15,0,14.0
1,22,AP-200,4,2,4,2,7,0,3.0
1,22,AP-300,2,2,2,0,4,0,4.0
1,23,AP-100,14,13,12,1,16,0,13.0
1,23,AP-200,4,3,4,1,8,0,4.5
1,23,AP-300,2,2,2,0,4,0,4.0
1,24,AP-100,14,12,12,0,18,0,12.0
1,24,AP-200,4,4,4,0,8,0,6.0
1,24,AP-300,2,2,2,0,4,0,4.0
1,25,AP-100,14,13,12,1,19,0,13.0
1,25,AP-200,4,4,4,0,8,0,6.0
1,25,AP-300,2,2,2,0,4,0,4.0
1,26,AP-100,13,3,12,9,29,0,3.0
1,26,AP-200,4,4,4,0,8,0,6.0
1,26,AP-300,2,0,2,2,6,0,0.0
2,1,AP-100,10,10,10,0,0,10,10.0
2,1,AP-200,4,4,4,0,0,4,6.0
2,1,AP-300,2,2,2,0,0,2,4.0
2,2,AP-100,10,10,10,0,0,10,10.0
2,2,AP-200,4,4,4,0,0,4,6.0
2,2,AP-300,2,2,2,0,0,2,4.0
2,3,AP-100,10,10,10,0,0,10,10.0
2,3,AP-200,4,4,4,0,0,4,6.0
2,3,AP-300,2,2,2,0,0,2,4.0
2,4,AP-100,10,10,10,0,0,10,10.0
2,4,AP-200,4,4,4,0,0,4,6.0
2,4,AP-300,2,2,2,0,0,2,4.0
2,5,AP-100,10,10,10,0,0,10,10.0
2,5,AP-200,4,4,4,0,0,4,6.0
2,5,AP-300,2,2,2,0,0,2,4.0
2,6,AP-100,10,10,10,0,0,10,10.0
2,6,AP-200,4,4,4,0,0,4,6.0
2,6,AP-300,2,2,2,0,0,2,4.0
2,7,AP-100,10,10,10,0,0,10,10.0
2,7,AP-200,4,4,4,0,0,4,6.0
2,7,AP-300,2,2,2,0,0,2,4.0
2,8,AP-100,10,10,10,0,0,10,10.0
2,8,AP-200,4,4,4,0,0,4,6.0
2,8,AP-300,2,2,2,0,0,2,4.0
2,9,AP-100,10,10,10,0,0,10,10.0
2,9,AP-200,4,4,4,0,0,4,6.0
2,9,AP-300,2,2,2,0,0,2,4.0
2,10,AP-100,12,12,10,2,0,12,12.0
2,10,AP-200,4,4,4,0,0,4,6.0
2,10,AP-300,2,2,2,0,0,2,4.0
2,11,AP-100,11,11,10,1,0,11,11.0
2,11,AP-200,4,4,4,0,0,4,6.0
2,11,AP-300,2,2,2,0,0,2,4.0
2,12,AP-100,12,12,10,2,0,12,12.0
2,12,AP-200,4,4,4,0,0,4,6.0
2,12,AP-300,2,2,2,0,0,2,4.0
2,13,AP-100,11,11,10,1,0,11,11.0
2,13,AP-200,4,4,4,0,0,4,6.0
2,13,AP-300,2,2,2,0,0,2,4.0
2,14,AP-100,14,13,12,1,1,13,13.0
2,14,AP-200,4,4,4,0,0,4,6.0
2,14,AP-300,2,2,2,0,0,2,4.0
2,15,AP-100,14,13,12,1,2,12,13.0
2,15,AP-200,4,3,4,1,1,3,4.5
2,15,AP-300,2,0,2,2,2,0,0.0
2,16,AP-100,13,13,12,1,2,11,13.0
2,16,AP-200,4,1,4,3,4,0,1.5
2,16,AP-300,2,2,2,0,2,0,4.0
2,17,AP-100,14,10,12,2,6,8,10.0
2,17,AP-200,4,4,4,0,4,0,6.0
2,17,AP-300,2,2,2,0,2,0,4.0
2,18,AP-100,14,10,12,2,10,4,10.0
2,18,AP-200,4,4,4,0,4,0,6.0
2,18,AP-300,2,2,2,0,2,0,4.0
2,19,AP-100,14,14,12,2,10,4,14.0
2,19,AP-200,4,4,4,0,4,0,6.0
2,19,AP-300,2,2,2,0,2,0,4.0
2,20,AP-100,14,15,12,3,9,5,15.0
2,20,AP-200,4,4,4,0,4,0,6.0
2,20,AP-300,2,2,2,0,2,0,4.0
2,21,AP-100,13,13,12,1,9,4,13.0
2,21,AP-200,4,4,4,0,4,0,6.0
2,21,AP-300,2,2,2,0,2,0,4.0
2,22,AP-100,14,14,12,2,9,5,14.0
2,22,AP-200,4,4,4,0,4,0,6.0
2,22,AP-300,2,2,2,0,2,0,4.0
2,23,AP-100,14,14,12,2,9,5,14.0
2,23,AP-200,4,4,4,0,4,0,6.0
2,23,AP-300,2,2,2,0,2,0,4.0
2,24,AP-100,14,12,12,0,11,3,12.0
2,24,AP-200,4,4,4,0,4,0,6.0
2,24,AP-300,2,2,2,0,2,0,4.0
2,25,AP-100,14,13,12,1,12,2,13.0
2,25,AP-200,4,4,4,0,4,0,6.0
2,25,AP-300,2,2,2,0,2,0,4.0
2,26,AP-100,13,13,12,1,12,1,13.0
2,26,AP-200,4,4,4,0,4,0,6.0
2,26,AP-300,2,2,2,0,2,0,4.0
3,1,AP-100,10,10,10,0,0,10,10.0
3,1,AP-200,4,4,4,0,0,4,6.0
3,1,AP-300,2,2,2,0,0,2,4.0
3,2,AP-100,10,10,10,0,0,10,10.0
3,2,AP-200,4,4,4,0,0,4,6.0
3,2,AP-300,2,2,2,0,0,2,4.0
3,3,AP-100,10,10,10,0,0,10,10.0
3,3,AP-200,4,4,4,0,0,4,6.0
3,3,AP-300,2,2,2,0,0,2,4.0
3,4,AP-100,10,10,10,0,0,10,10.0
3,4,AP-200,4,4,4,0,0,4,6.0
3,4,AP-300,2,2,2,0,0,2,4.0
3,5,AP-100,10,10,10,0,0,10,10.0
3,5,AP-200,4,4,4,0,0,4,6.0
3,5,AP-300,2,2,2,0,0,2,4.0
3,6,AP-100,10,10,10,0,0,10,10.0
3,6,AP-200,4,4,4,0,0,4,6.0
3,6,AP-300,2,2,2,0,0,2,4.0
3,7,AP-100,10,10,10,0,0,10,10.0
3,7,AP-200,4,4,4,0,0,4,6.0
3,7,AP-300,2,2,2,0,0,2,4.0
3,8,AP-100,10,10,10,0,0,10,10.0
3,8,AP-200,4,4,4,0,0,4,6.0
3,8,AP-300,2,2,2,0,0,2,4.0
3,9,AP-100,10,10,10,0,0,10,10.0
3,9,AP-200,4,4,4,0,0,4,6.0
3,9,AP-300,2,2,2,0,0,2,4.0
3,10,AP-100,12,12,10,2,0,12,12.0
3,10,AP-200,4,4,4,0,0,4,6.0
3,10,AP-300,2,2,2,0,0,2,4.0
3,11,AP-100,11,12,10,2,0,11,12.0
3,11,AP-200,4,4,4,0,0,4,6.0
3,11,AP-300,2,2,2,0,0,2,4.0
3,12,AP-100,12,12,10,2,0,12,12.0
3,12,AP-200,4,4,4,0,0,4,6.0
3,12,AP-300,2,2,2,0,0,2,4.0
3,13,AP-100,11,11,10,1,0,11,11.0
3,13,AP-200,4,4,4,0,0,4,6.0
3,13,AP-300,2,2,2,0,0,2,4.0
3,14,AP-100,14,13,12,1,0,14,13.0
3,14,AP-200,4,3,4,1,1,3,4.5
3,14,AP-300,2,2,2,0,0,2,4.0
3,15,AP-100,14,12,12,0,2,12,12.0
3,15,AP-200,4,0,4,4,5,0,0.0
3,15,AP-300,2,0,2,2,2,0,0.0
3,16,AP-100,13,7,12,5,8,7,7.0
3,16,AP-200,4,3,4,1,6,1,4.5
3,16,AP-300,2,2,2,0,2,1,4.0
3,17,AP-100,14,7,12,5,15,6,7.0
3,17,AP-200,4,4,4,0,6,1,6.0
3,17,AP-300,2,1,2,1,3,0,2.0
3,18,AP-100,14,8,12,4,21,4,8.0
3,18,AP-200,4,3,4,1,7,1,4.5
3,18,AP-300,2,1,2,1,4,0,2.0
3,19,AP-100,14,11,12,1,24,5,11.0
3,19,AP-200,4,4,4,0,7,1,6.0
3,19,AP-300,2,3,2,1,3,1,6.0
3,20,AP-100,14,13,12,1,25,10,13.0
3,20,AP-200,4,5,4,1,6,3,7.5
3,20,AP-300,2,1,2,1,4,1,2.0
3,21,AP-100,13,11,12,1,27,10,11.0
3,21,AP-200,4,4,4,0,6,3,6.0
3,21,AP-300,2,3,2,1,3,2,6.0
3,22,AP-100,14,12,12,0,29,10,12.0
3,22,AP-200,4,4,4,0,6,2,6.0
3,22,AP-300,2,2,2,0,3,1,4.0
3,23,AP-100,14,15,12,3,28,13,15.0
3,23,AP-200,4,3,4,1,7,3,4.5
3,23,AP-300,2,0,2,2,5,0,0.0
3,24,AP-100,14,15,12,3,27,12,15.0
3,24,AP-200,4,1,4,3,10,1,1.5
3,24,AP-300,2,2,2,0,5,2,4.0
3,25,AP-100,14,14,12,2,27,12,14.0
3,25,AP-200,4,3,4,1,11,3,4.5
3,25,AP-300,2,2,2,0,5,2,4.0
3,26,AP-100,13,12,12,0,28,10,12.0
3,26,AP-200,4,5,4,1,10,4,7.5
3,26,AP-300,2,2,2,0,5,2,4.0
4,1,AP-100,10,10,10,0,0,10,10.0
4,1,AP-200,4,4,4,0,0,4,6.0
4,1,AP-300,2,2,2,0,0,2,4.0
4,2,AP-100,10,10,10,0,0,10,10.0
4,2,AP-200,4,4,4,0,0,4,6.0
4,2,AP-300,2,2,2,0,0,2,4.0
4,3,AP-100,10,10,10,0,0,10,10.0
4,3,AP-200,4,4,4,0,0,4,6.0
4,3,AP-300,2,2,2,0,0,2,4.0
4,4,AP-100,10,10,10,0,0,10,10.0
4,4,AP-200,4,4,4,0,0,4,6.0
4,4,AP-300,2,2,2,0,0,2,4.0
4,5,AP-100,10,10,10,0,0,10,10.0
4,5,AP-200,4,4,4,0,0,4,6.0
4,5,AP-300,2,2,2,0,0,2,4.0
4,6,AP-100,10,10,10,0,0,10,10.0
4,6,AP-200,4,4,4,0,0,4,6.0
4,6,AP-300,2,2,2,0,0,2,4.0
4,7,AP-100,10,10,10,0,0,10,10.0
4,7,AP-200,4,4,4,0,0,4,6.0
4,7,AP-300,2,2,2,0,0,2,4.0
4,8,AP-100,10,10,10,0,0,10,10.0
4,8,AP-200,4,4,4,0,0,4,6.0
4,8,AP-300,2,2,2,0,0,2,4.0
4,9,AP-100,10,10,10,0,0,10,10.0
4,9,AP-200,4,4,4,0,0,4,6.0
4,9,AP-300,2,2,2,0,0,2,4.0
4,10,AP-100,12,12,10,2,0,12,12.0
4,10,AP-200,4,4,4,0,0,4,6.0
4,10,AP-300,2,2,2,0,0,2,4.0
4,11,AP-100,11,12,10,2,0,11,12.0
4,11,AP-200,4,4,4,0,0,4,6.0
4,11,AP-300,2,2,2,0,0,2,4.0
4,12,AP-100,12,12,10,2,0,12,12.0
4,12,AP-200,4,4,4,0,0,4,6.0
4,12,AP-300,2,2,2,0,0,2,4.0
4,13,AP-100,11,11,10,1,0,11,11.0
4,13,AP-200,4,4,4,0,0,4,6.0
4,13,AP-300,2,2,2,0,0,2,4.0
4,14,AP-100,14,13,12,1,0,14,13.0
4,14,AP-200,4,3,4,1,1,3,4.5
4,14,AP-300,2,2,2,0,0,2,4.0
4,15,AP-100,14,14,12,2,0,14,14.0
4,15,AP-200,4,4,4,0,1,3,6.0
4,15,AP-300,2,1,2,1,1,1,2.0
4,16,AP-100,13,10,12,2,3,10,10.0
4,16,AP-200,4,5,4,1,0,4,7.5
4,16,AP-300,2,3,2,1,0,2,6.0
4,17,AP-100,14,13,12,1,4,10,13.0
4,17,AP-200,4,3,4,1,1,3,4.5
4,17,AP-300,2,2,2,0,0,2,4.0
4,18,AP-100,14,13,12,1,5,10,13.0
4,18,AP-200,4,4,4,0,1,4,6.0
4,18,AP-300,2,1,2,1,1,1,2.0
4,19,AP-100,14,13,12,1,6,8,13.0
4,19,AP-200,4,4,4,0,1,3,6.0
4,19,AP-300,2,1,2,1,2,1,2.0
4,20,AP-100,14,13,12,1,7,10,13.0
4,20,AP-200,4,3,4,1,2,3,4.5
4,20,AP-300,2,3,2,1,1,2,6.0
4,21,AP-100,13,13,12,1,7,10,13.0
4,21,AP-200,4,3,4,1,3,3,4.5
4,21,AP-300,2,2,2,0,1,2,4.0
4,22,AP-100,14,13,12,1,8,10,13.0
4,22,AP-200,4,3,4,1,4,2,4.5
4,22,AP-300,2,2,2,0,1,1,4.0
4,23,AP-100,14,14,12,2,8,13,14.0
4,23,AP-200,4,4,4,0,4,3,6.0
4,23,AP-300,2,0,2,2,3,0,0.0
4,24,AP-100,14,15,12,3,7,12,15.0
4,24,AP-200,4,1,4,3,7,1,1.5
4,24,AP-300,2,2,2,0,3,2,4.0
4,25,AP-100,14,13,12,1,8,12,13.0
4,25,AP-200,4,4,4,0,7,3,6.0
4,25,AP-300,2,2,2,0,3,2,4.0
4,26,AP-100,13,13,12,1,8,10,13.0
4,26,AP-200,4,4,4,0,7,4,6.0
4,26,AP-300,2,2,2,0,3,2,4.0
